# power spectrum of hij
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   3.617442e-19   0.000000e+00   1.252044e-19   6
  2.776802e-02   2.441921e-19   0.000000e+00   2.317816e-20   12
  3.400874e-02   1.067140e-19   3.725290e-10   1.155414e-20   8
  3.926991e-02   9.888845e-20   0.000000e+00   1.036761e-20   6
  4.390509e-02   8.059091e-20   0.000000e+00   8.478413e-21   24
  4.809562e-02   3.542826e-20   7.024475e-10   6.094325e-21   24
  5.553604e-02   3.635585e-20   0.000000e+00   4.644864e-21   12
  5.890486e-02   1.537290e-20   7.947286e-10   1.425249e-21   30
  6.209118e-02   1.652839e-20   0.000000e+00   2.481360e-21   24
  6.512178e-02   1.897875e-20   1.216675e-09   2.934766e-21   24
  6.801748e-02   1.102498e-20   7.450581e-10   1.921510e-21   8
  7.079483e-02   9.993452e-21   9.934107e-10   1.214048e-21   24
  7.346727e-02   8.881286e-21   0.000000e+00   8.427218e-22   48
  7.853982e-02   9.043543e-21   0.000000e+00   1.194234e-21   6
  8.095699e-02   5.500907e-21   1.404895e-09   5.966790e-22   48
  8.330406e-02   6.339538e-21   0.000000e+00   7.052445e-22   36
  8.558678e-02   4.860932e-21   9.934107e-10   8.226537e-22   24
  8.781018e-02   5.030229e-21   0.000000e+00   8.199670e-22   24
  8.997866e-02   3.640517e-21   0.000000e+00   4.011833e-22   48
  9.209610e-02   4.109502e-21   1.404895e-09   5.339251e-22   24
  9.619124e-02   2.645314e-21   1.404895e-09   3.294251e-22   24
  9.817477e-02   3.554422e-21   0.000000e+00   6.135737e-22   30
  1.001190e-01   2.187660e-21   0.000000e+00   1.613946e-22   72
  1.020262e-01   2.025681e-21   1.490116e-09   1.919377e-22   32
  1.057375e-01   2.078412e-21   0.000000e+00   1.819076e-22   72
  1.075451e-01   1.677480e-21   0.000000e+00   1.609192e-22   48
  1.110721e-01   1.741201e-21   0.000000e+00   4.002353e-22   12
  1.127942e-01   1.403596e-21   0.000000e+00   1.165167e-22   48
  1.144905e-01   1.542385e-21   0.000000e+00   1.187113e-22   48
  1.161620e-01   1.216070e-21   1.404895e-09   1.245169e-22   48
  1.178097e-01   1.240087e-21   1.589457e-09   1.657009e-22   30
  1.194348e-01   1.080644e-21   1.404895e-09   9.995228e-23   24
  1.210380e-01   1.138240e-21   2.961779e-09   8.272113e-23   72
  1.241824e-01   8.078503e-22   0.000000e+00   1.166550e-22   24
  1.257251e-01   7.628568e-22   0.000000e+00   4.665167e-23   96
  1.272490e-01   9.203419e-22   0.000000e+00   8.091153e-23   48
  1.287550e-01   7.918678e-22   2.433349e-09   8.939636e-23   24
  1.302436e-01   8.641509e-22   2.433349e-09   1.385485e-22   24
  1.317153e-01   6.477467e-22   0.000000e+00   4.247738e-23   72
  1.331707e-01   7.910010e-22   0.000000e+00   5.886314e-23   48
  1.360350e-01   5.836540e-22   1.490116e-09   3.837747e-23   8
  1.374447e-01   5.254442e-22   1.766064e-09   6.598619e-23   54
  1.388401e-01   4.792875e-22   0.000000e+00   3.478015e-23   84
  1.402216e-01   4.585495e-22   0.000000e+00   6.394869e-23   48
  1.415897e-01   5.692962e-22   1.986821e-09   5.857335e-23   24
  1.429446e-01   4.776441e-22   1.873193e-09   5.391737e-23   72
  1.442869e-01   4.465063e-22   0.000000e+00   4.563613e-23   96
  1.469345e-01   3.516622e-22   0.000000e+00   3.703772e-23   48
  1.482407e-01   4.563444e-22   0.000000e+00   4.110853e-23   48
  1.495354e-01   3.139921e-22   1.986821e-09   3.945023e-23   24
  1.508189e-01   3.541898e-22   0.000000e+00   2.505496e-23   72
  1.533539e-01   3.351101e-22   1.873193e-09   2.726187e-23   72
  1.546058e-01   2.786253e-22   0.000000e+00   1.772045e-23   96
  1.570796e-01   3.035289e-22   0.000000e+00   8.772605e-23   6
  1.583021e-01   3.148984e-22   0.000000e+00   2.457668e-23   96
  1.595151e-01   3.181617e-22   1.986821e-09   2.008099e-23   96
  1.607190e-01   3.093915e-22   0.000000e+00   3.849428e-23   24
  1.619140e-01   2.955085e-22   2.809790e-09   3.017098e-23   48
  1.631002e-01   2.217185e-22   0.000000e+00   1.592541e-23   96
  1.642778e-01   1.962321e-22   0.000000e+00   1.610128e-23   48
  1.666081e-01   2.781802e-22   0.000000e+00   2.790239e-23   36
  1.677611e-01   1.993036e-22   3.441276e-09   2.253480e-23   48
  1.689063e-01   2.178256e-22   3.893359e-09   1.479411e-23   120
  1.700437e-01   1.916506e-22   0.000000e+00   1.190115e-23   56
  1.711736e-01   2.147823e-22   1.986821e-09   3.453080e-23   24
  1.722960e-01   1.696871e-22   0.000000e+00   1.391800e-23   96
  1.734112e-01   2.102176e-22   0.000000e+00   1.882677e-23   48
  1.756204e-01   1.665507e-22   0.000000e+00   2.734469e-23   24
  1.767146e-01   1.729225e-22   0.000000e+00   1.194671e-23   102
  1.778021e-01   1.684991e-22   0.000000e+00   1.869566e-23   48
  1.788829e-01   1.806680e-22   0.000000e+00   1.458476e-23   72
  1.799573e-01   1.684651e-22   0.000000e+00   1.417167e-23   48
  1.810253e-01   1.962930e-22   0.000000e+00   1.918565e-23   48
  1.820871e-01   1.614017e-22   4.495664e-09   1.016219e-23   120
  1.841922e-01   1.469144e-22   2.809790e-09   1.514277e-23   24
  1.852358e-01   1.397694e-22   2.649095e-09   8.436601e-24   144
  1.862735e-01   1.290067e-22   3.178914e-09   8.077189e-24   120
  1.873055e-01   1.004854e-22   2.809790e-09   9.539455e-24   48
  1.893526e-01   1.161452e-22   2.809790e-09   1.110406e-23   48
  1.903679e-01   1.151170e-22   2.809790e-09   8.539892e-24   96
  1.930487e-01   9.878874e-23   4.711199e-04   7.921922e-24   72
  1.943761e-01   9.489083e-23   3.532127e-09   5.416839e-24   108
  1.953653e-01   1.101104e-22   0.000000e+00   9.514325e-24   72
  1.963495e-01   8.958830e-23   0.000000e+00   8.126334e-24   30
  1.973288e-01   1.024985e-22   0.000000e+00   4.606718e-24   168
  1.983033e-01   8.621060e-23   0.000000e+00   1.362823e-23   48
  2.002380e-01   9.571442e-23   0.000000e+00   9.199598e-24   72
  2.011984e-01   8.419834e-23   0.000000e+00   4.511312e-24   96
  2.021542e-01   8.941273e-23   5.298191e-09   7.209877e-24   72
  2.031055e-01   7.454407e-23   0.000000e+00   6.138573e-24   72
  2.047049e-01   9.432044e-23   4.350048e-04   6.682618e-24   104
  2.059331e-01   9.359963e-23   3.746387e-09   5.719979e-24   144
  2.087224e-01   7.730440e-23   6.282881e-09   6.071382e-24   96
  2.096439e-01   6.942715e-23   0.000000e+00   5.605134e-24   96
  2.111095e-01   7.999428e-23   4.475232e-04   4.573583e-24   120
  2.123845e-01   8.745659e-23   0.000000e+00   6.022882e-24   120
