# power spectrum of B
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.259449e-17   0.000000e+00   1.838740e-18   6
  2.776802e-02   1.146629e-17   0.000000e+00   1.552634e-18   12
  3.400874e-02   7.044675e-18   3.725290e-10   2.688329e-18   8
  3.926991e-02   9.006360e-18   0.000000e+00   1.998748e-18   6
  4.390509e-02   1.685444e-17   0.000000e+00   2.117049e-18   24
  4.809562e-02   8.565494e-18   7.024475e-10   8.415932e-19   24
  5.553604e-02   6.423861e-18   0.000000e+00   8.993616e-19   12
  5.890486e-02   8.461156e-18   7.947286e-10   1.370300e-18   30
  6.209118e-02   1.021364e-17   0.000000e+00   1.155288e-18   24
  6.512178e-02   1.249321e-17   1.216675e-09   1.353045e-18   24
  6.801748e-02   8.121751e-18   7.450581e-10   1.906890e-18   8
  7.079483e-02   5.074052e-18   9.934107e-10   6.770022e-19   24
  7.346727e-02   8.600774e-18   0.000000e+00   7.751875e-19   48
  7.853982e-02   6.068726e-18   0.000000e+00   4.342853e-19   6
  8.095699e-02   6.362016e-18   1.404895e-09   6.510885e-19   48
  8.330406e-02   9.648530e-18   0.000000e+00   1.083339e-18   36
  8.558678e-02   4.208312e-18   9.934107e-10   7.258845e-19   24
  8.781018e-02   7.772565e-18   0.000000e+00   1.288294e-18   24
  8.997866e-02   5.484273e-18   0.000000e+00   4.304392e-19   48
  9.209610e-02   4.130271e-18   1.404895e-09   3.794776e-19   24
  9.619124e-02   5.273071e-18   1.404895e-09   7.853138e-19   24
  9.817477e-02   5.011811e-18   0.000000e+00   5.922530e-19   30
  1.001190e-01   5.089252e-18   0.000000e+00   5.002653e-19   72
  1.020262e-01   6.994490e-18   1.490116e-09   7.588674e-19   32
  1.057375e-01   5.334812e-18   0.000000e+00   4.236309e-19   72
  1.075451e-01   6.950869e-18   0.000000e+00   6.237619e-19   48
  1.110721e-01   1.546051e-18   0.000000e+00   2.799753e-19   12
  1.127942e-01   4.922578e-18   0.000000e+00   4.483514e-19   48
  1.144905e-01   4.015069e-18   0.000000e+00   4.220488e-19   48
  1.161620e-01   3.207855e-18   1.404895e-09   3.059512e-19   48
  1.178097e-01   3.195238e-18   1.589457e-09   4.392509e-19   30
