# power spectrum of B
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.456017e-16   0.000000e+00   1.948847e-17   6
  2.776802e-02   1.358538e-16   0.000000e+00   1.796492e-17   12
  3.400874e-02   9.426081e-17   3.725290e-10   3.483747e-17   8
  3.926991e-02   1.060080e-16   0.000000e+00   2.352144e-17   6
  4.390509e-02   1.714229e-16   0.000000e+00   2.477725e-17   24
  4.809562e-02   8.847972e-17   7.024475e-10   9.188861e-18   24
  5.553604e-02   7.978479e-17   0.000000e+00   1.063099e-17   12
  5.890486e-02   1.054841e-16   7.947286e-10   1.744896e-17   30
  6.209118e-02   1.023965e-16   0.000000e+00   1.105633e-17   24
  6.512178e-02   1.621367e-16   1.216675e-09   2.496686e-17   24
  6.801748e-02   1.014309e-16   7.450581e-10   2.458879e-17   8
  7.079483e-02   6.379432e-17   9.934107e-10   9.246862e-18   24
  7.346727e-02   9.781243e-17   0.000000e+00   9.232985e-18   48
  7.853982e-02   7.229365e-17   0.000000e+00   6.387773e-18   6
  8.095699e-02   8.103490e-17   1.404895e-09   8.490161e-18   48
  8.330406e-02   9.467745e-17   0.000000e+00   7.390034e-18   36
  8.558678e-02   4.749031e-17   9.934107e-10   8.064241e-18   24
  8.781018e-02   7.382385e-17   0.000000e+00   1.187721e-17   24
  8.997866e-02   5.980618e-17   0.000000e+00   5.083817e-18   48
  9.209610e-02   5.171007e-17   1.404895e-09   5.677338e-18   24
  9.619124e-02   4.892353e-17   1.404895e-09   7.397305e-18   24
  9.817477e-02   5.570261e-17   0.000000e+00   6.178958e-18   30
  1.001190e-01   5.811222e-17   0.000000e+00   4.607438e-18   72
  1.020262e-01   7.985130e-17   1.490116e-09   9.652586e-18   32
  1.057375e-01   5.953433e-17   0.000000e+00   4.284158e-18   72
  1.075451e-01   5.071843e-17   0.000000e+00   5.162401e-18   48
  1.110721e-01   1.680995e-17   0.000000e+00   2.514076e-18   12
  1.127942e-01   4.501022e-17   0.000000e+00   4.037141e-18   48
  1.144905e-01   3.961246e-17   0.000000e+00   4.074882e-18   48
  1.161620e-01   3.295030e-17   1.404895e-09   3.058636e-18   48
  1.178097e-01   3.739225e-17   1.589457e-09   4.417861e-18   30
  1.194348e-01   3.935245e-17   1.404895e-09   8.096536e-18   24
  1.210380e-01   4.041733e-17   2.961779e-09   3.740207e-18   72
  1.241824e-01   5.037450e-17   0.000000e+00   7.590240e-18   24
