# power spectrum of phi
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.455196e-10   0.000000e+00   5.317159e-11   6
  2.776802e-02   2.161509e-10   0.000000e+00   4.761206e-11   12
  3.400874e-02   1.108044e-10   3.725290e-10   3.133704e-11   8
  3.926991e-02   9.478307e-11   0.000000e+00   2.719556e-11   6
  4.390509e-02   6.947733e-11   0.000000e+00   9.131740e-12   24
  4.809562e-02   6.216476e-11   7.024475e-10   1.221204e-11   24
  5.553604e-02   1.554853e-11   0.000000e+00   3.833510e-12   12
  5.890486e-02   4.462038e-11   7.947286e-10   5.512988e-12   30
  6.209118e-02   2.727063e-11   0.000000e+00   4.871780e-12   24
  6.512178e-02   3.105786e-11   1.216675e-09   6.471762e-12   24
  6.801748e-02   5.915401e-11   7.450581e-10   2.190918e-11   8
  7.079483e-02   2.142121e-11   9.934107e-10   4.148457e-12   24
  7.346727e-02   2.193344e-11   0.000000e+00   2.587667e-12   48
  7.853982e-02   1.476554e-11   0.000000e+00   1.584558e-12   6
  8.095699e-02   2.447273e-11   1.404895e-09   2.719035e-12   48
  8.330406e-02   2.311558e-11   0.000000e+00   3.414891e-12   36
  8.558678e-02   1.130136e-11   9.934107e-10   2.654974e-12   24
  8.781018e-02   1.523962e-11   0.000000e+00   2.164759e-12   24
  8.997866e-02   1.316929e-11   0.000000e+00   1.650141e-12   48
  9.209610e-02   2.274610e-11   1.404895e-09   4.274041e-12   24
  9.619124e-02   1.270697e-11   1.404895e-09   2.595649e-12   24
  9.817477e-02   1.400284e-11   0.000000e+00   2.249791e-12   30
  1.001190e-01   1.364435e-11   0.000000e+00   1.355291e-12   72
  1.020262e-01   1.417908e-11   1.490116e-09   2.068197e-12   32
  1.057375e-01   9.267430e-12   0.000000e+00   1.566912e-12   72
  1.075451e-01   9.801373e-12   0.000000e+00   1.204573e-12   48
  1.110721e-01   4.254556e-12   0.000000e+00   8.851823e-13   12
  1.127942e-01   1.065125e-11   0.000000e+00   1.409689e-12   48
  1.144905e-01   9.979078e-12   0.000000e+00   1.463323e-12   48
  1.161620e-01   6.494043e-12   1.404895e-09   9.537010e-13   48
  1.178097e-01   6.930644e-12   1.589457e-09   9.149731e-13   30
  1.194348e-01   7.441669e-12   1.404895e-09   1.170771e-12   24
  1.210380e-01   7.365127e-12   2.961779e-09   7.476174e-13   72
  1.241824e-01   6.123353e-12   0.000000e+00   2.202345e-12   24
  1.257251e-01   9.184362e-12   0.000000e+00   8.654196e-13   96
  1.272490e-01   4.722474e-12   0.000000e+00   8.640713e-13   48
  1.287550e-01   6.182097e-12   2.433349e-09   1.048066e-12   24
  1.302436e-01   1.147217e-11   2.433349e-09   2.211433e-12   24
  1.317153e-01   6.939943e-12   0.000000e+00   9.303318e-13   72
  1.331707e-01   7.422464e-12   0.000000e+00   1.044145e-12   48
  1.360350e-01   9.717189e-12   1.490116e-09   2.773422e-12   8
  1.374447e-01   5.702109e-12   1.766064e-09   5.572770e-13   54
  1.388401e-01   5.679092e-12   0.000000e+00   6.525144e-13   84
  1.402216e-01   4.600982e-12   0.000000e+00   5.947777e-13   48
  1.415897e-01   4.881144e-12   1.986821e-09   1.390887e-12   24
  1.429446e-01   5.225727e-12   1.873193e-09   5.641714e-13   72
  1.442869e-01   4.969904e-12   0.000000e+00   4.130206e-13   96
  1.469345e-01   5.284403e-12   0.000000e+00   5.868004e-13   48
  1.482407e-01   4.763373e-12   0.000000e+00   5.221350e-13   48
  1.495354e-01   5.093320e-12   1.986821e-09   1.234466e-12   24
  1.508189e-01   3.688268e-12   0.000000e+00   4.655175e-13   72
  1.533539e-01   4.318908e-12   1.873193e-09   5.777486e-13   72
  1.546058e-01   2.985128e-12   0.000000e+00   2.816306e-13   96
  1.570796e-01   8.078047e-13   0.000000e+00   4.417166e-13   6
  1.583021e-01   2.894829e-12   0.000000e+00   3.252059e-13   96
  1.595151e-01   3.461439e-12   1.986821e-09   2.656043e-13   96
