# power spectrum of phi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.314022e-10   0.000000e+00   4.855102e-11   6
  2.776802e-02   1.952815e-10   0.000000e+00   4.287911e-11   12
  3.400874e-02   9.763827e-11   3.725290e-10   2.760050e-11   8
  3.926991e-02   8.232372e-11   0.000000e+00   2.128790e-11   6
  4.390509e-02   6.575485e-11   0.000000e+00   8.387432e-12   24
  4.809562e-02   5.401170e-11   7.024475e-10   1.053159e-11   24
  5.553604e-02   1.493391e-11   0.000000e+00   3.444326e-12   12
  5.890486e-02   3.951665e-11   7.947286e-10   4.334384e-12   30
  6.209118e-02   2.314232e-11   0.000000e+00   4.273120e-12   24
  6.512178e-02   2.828097e-11   1.216675e-09   5.545616e-12   24
  6.801748e-02   5.441199e-11   7.450581e-10   1.920644e-11   8
  7.079483e-02   2.184353e-11   9.934107e-10   4.016850e-12   24
  7.346727e-02   1.819189e-11   0.000000e+00   2.069788e-12   48
  7.853982e-02   1.377394e-11   0.000000e+00   5.596289e-13   6
  8.095699e-02   2.179551e-11   1.404895e-09   2.359108e-12   48
  8.330406e-02   1.899995e-11   0.000000e+00   2.737643e-12   36
  8.558678e-02   9.318108e-12   9.934107e-10   2.516528e-12   24
  8.781018e-02   1.083921e-11   0.000000e+00   1.800697e-12   24
  8.997866e-02   1.203167e-11   0.000000e+00   1.665914e-12   48
  9.209610e-02   1.806341e-11   1.404895e-09   3.460544e-12   24
  9.619124e-02   1.008641e-11   1.404895e-09   2.080561e-12   24
  9.817477e-02   1.171054e-11   0.000000e+00   2.002172e-12   30
  1.001190e-01   1.138964e-11   0.000000e+00   1.146586e-12   72
  1.020262e-01   1.227624e-11   1.490116e-09   1.966495e-12   32
  1.057375e-01   8.587388e-12   0.000000e+00   1.300699e-12   72
  1.075451e-01   8.093008e-12   0.000000e+00   1.048154e-12   48
  1.110721e-01   4.737872e-12   0.000000e+00   8.944581e-13   12
  1.127942e-01   9.160907e-12   0.000000e+00   1.182535e-12   48
  1.144905e-01   8.573914e-12   0.000000e+00   1.216846e-12   48
  1.161620e-01   5.701080e-12   1.404895e-09   8.441117e-13   48
  1.178097e-01   5.738603e-12   1.589457e-09   9.556659e-13   30
  1.194348e-01   6.126873e-12   1.404895e-09   9.206998e-13   24
  1.210380e-01   6.871895e-12   2.961779e-09   6.225876e-13   72
  1.241824e-01   5.769647e-12   0.000000e+00   2.363248e-12   24
  1.257251e-01   7.523360e-12   0.000000e+00   7.072486e-13   96
  1.272490e-01   4.375074e-12   0.000000e+00   7.167220e-13   48
  1.287550e-01   5.108777e-12   2.433349e-09   8.718795e-13   24
  1.302436e-01   9.860878e-12   2.433349e-09   1.610698e-12   24
  1.317153e-01   5.738592e-12   0.000000e+00   7.193754e-13   72
  1.331707e-01   6.016647e-12   0.000000e+00   8.080185e-13   48
  1.360350e-01   7.876639e-12   1.490116e-09   2.925420e-12   8
  1.374447e-01   5.289016e-12   1.766064e-09   4.938067e-13   54
  1.388401e-01   6.154286e-12   0.000000e+00   7.369407e-13   84
  1.402216e-01   3.999213e-12   0.000000e+00   5.554950e-13   48
  1.415897e-01   3.986828e-12   1.986821e-09   1.035806e-12   24
  1.429446e-01   4.275607e-12   1.873193e-09   4.977259e-13   72
  1.442869e-01   3.956071e-12   0.000000e+00   3.446135e-13   96
  1.469345e-01   3.505031e-12   0.000000e+00   3.824093e-13   48
  1.482407e-01   3.378534e-12   0.000000e+00   4.283123e-13   48
  1.495354e-01   2.570385e-12   1.986821e-09   5.518944e-13   24
  1.508189e-01   2.979263e-12   0.000000e+00   3.482040e-13   72
  1.533539e-01   3.427594e-12   1.873193e-09   4.036949e-13   72
  1.546058e-01   2.959011e-12   0.000000e+00   2.620793e-13   96
  1.570796e-01   6.795197e-13   0.000000e+00   2.850051e-13   6
  1.583021e-01   2.979621e-12   0.000000e+00   3.242165e-13   96
  1.595151e-01   2.948124e-12   1.986821e-09   2.472550e-13   96
  1.607190e-01   3.678777e-12   0.000000e+00   6.475538e-13   24
  1.619140e-01   2.795693e-12   2.809790e-09   3.760733e-13   48
  1.631002e-01   2.064321e-12   0.000000e+00   1.977388e-13   96
  1.642778e-01   1.950904e-12   0.000000e+00   2.409420e-13   48
  1.666081e-01   2.789716e-12   0.000000e+00   5.247708e-13   36
  1.677611e-01   1.924872e-12   3.441276e-09   3.576603e-13   48
  1.689063e-01   2.255900e-12   3.893359e-09   2.168329e-13   120
  1.700437e-01   2.809067e-12   0.000000e+00   3.244031e-13   56
  1.711736e-01   1.392389e-12   1.986821e-09   3.336961e-13   24
  1.722960e-01   1.801494e-12   0.000000e+00   1.639039e-13   96
  1.734112e-01   2.575246e-12   0.000000e+00   3.639916e-13   48
  1.756204e-01   1.827893e-12   0.000000e+00   3.579717e-13   24
  1.767146e-01   2.480825e-12   0.000000e+00   2.253998e-13   102
  1.778021e-01   2.797432e-12   0.000000e+00   5.755373e-13   48
  1.788829e-01   2.882978e-12   0.000000e+00   2.639488e-13   72
  1.799573e-01   1.869703e-12   0.000000e+00   2.878222e-13   48
  1.810253e-01   2.765122e-12   0.000000e+00   4.747487e-13   48
  1.820871e-01   2.218988e-12   4.495664e-09   2.113982e-13   120
  1.841922e-01   1.106691e-12   2.809790e-09   2.328080e-13   24
  1.852358e-01   2.002952e-12   2.649095e-09   1.592033e-13   144
  1.862735e-01   1.773098e-12   3.178914e-09   1.536209e-13   120
  1.873055e-01   2.454873e-12   2.809790e-09   3.248770e-13   48
  1.893526e-01   1.739660e-12   2.809790e-09   2.903361e-13   48
  1.903679e-01   1.762319e-12   2.809790e-09   2.044877e-13   96
  1.930487e-01   1.645426e-12   4.711199e-04   2.513095e-13   72
  1.943761e-01   1.709307e-12   3.532127e-09   1.613528e-13   108
  1.953653e-01   1.498057e-12   0.000000e+00   1.678186e-13   72
  1.963495e-01   1.947503e-12   0.000000e+00   2.477049e-13   30
  1.973288e-01   1.844353e-12   0.000000e+00   1.357917e-13   168
  1.983033e-01   2.008759e-12   0.000000e+00   3.348934e-13   48
  2.002380e-01   1.737102e-12   0.000000e+00   1.915138e-13   72
  2.011984e-01   2.009693e-12   0.000000e+00   1.818568e-13   96
  2.021542e-01   1.430345e-12   5.298191e-09   1.306983e-13   72
  2.031055e-01   1.496620e-12   0.000000e+00   1.480864e-13   72
  2.047049e-01   1.171612e-12   4.350048e-04   1.008540e-13   104
  2.059331e-01   1.543697e-12   3.746387e-09   1.341332e-13   144
  2.087224e-01   1.789936e-12   6.282881e-09   1.938707e-13   96
  2.096439e-01   1.155576e-12   0.000000e+00   1.306037e-13   96
  2.111095e-01   1.094949e-12   4.475232e-04   1.055019e-13   120
  2.123845e-01   1.145413e-12   0.000000e+00   1.283495e-13   120
