# power spectrum of chi
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.723634e-20   0.000000e+00   2.978251e-20   6
  2.776802e-02   1.392587e-19   0.000000e+00   3.796412e-20   12
  3.400874e-02   8.260971e-20   3.725290e-10   1.638694e-20   8
  3.926991e-02   6.492534e-20   0.000000e+00   2.141638e-20   6
  4.390509e-02   8.204311e-20   0.000000e+00   2.045132e-20   24
  4.809562e-02   6.975028e-20   7.024475e-10   1.147985e-20   24
  5.553604e-02   3.449821e-20   0.000000e+00   1.281538e-20   12
  5.890486e-02   3.983655e-20   7.947286e-10   6.149218e-21   30
  6.209118e-02   2.419461e-20   0.000000e+00   3.716830e-21   24
  6.512178e-02   1.658598e-20   1.216675e-09   4.445049e-21   24
  6.801748e-02   3.928532e-20   7.450581e-10   9.478957e-21   8
  7.079483e-02   1.800382e-20   9.934107e-10   3.871885e-21   24
  7.346727e-02   1.401442e-20   0.000000e+00   2.139831e-21   48
  7.853982e-02   1.269983e-20   0.000000e+00   1.121897e-21   6
  8.095699e-02   1.287008e-20   1.404895e-09   1.446147e-21   48
  8.330406e-02   8.902759e-21   0.000000e+00   1.787045e-21   36
  8.558678e-02   7.564447e-21   9.934107e-10   1.500555e-21   24
  8.781018e-02   7.878567e-21   0.000000e+00   1.384311e-21   24
  8.997866e-02   7.016595e-21   0.000000e+00   1.264219e-21   48
  9.209610e-02   1.584795e-20   1.404895e-09   3.197291e-21   24
  9.619124e-02   1.030103e-20   1.404895e-09   1.828604e-21   24
  9.817477e-02   4.775788e-21   0.000000e+00   1.301593e-21   30
  1.001190e-01   5.184728e-21   0.000000e+00   4.402260e-22   72
  1.020262e-01   4.024092e-21   1.490116e-09   7.260383e-22   32
  1.057375e-01   6.212204e-21   0.000000e+00   6.372997e-22   72
  1.075451e-01   3.730067e-21   0.000000e+00   4.929349e-22   48
  1.110721e-01   4.883275e-21   0.000000e+00   4.928226e-22   12
  1.127942e-01   3.996272e-21   0.000000e+00   4.281058e-22   48
  1.144905e-01   3.692902e-21   0.000000e+00   5.132620e-22   48
  1.161620e-01   2.136571e-21   1.404895e-09   2.799816e-22   48
  1.178097e-01   2.386910e-21   1.589457e-09   4.195952e-22   30
  1.194348e-01   1.123803e-21   1.404895e-09   1.662079e-22   24
  1.210380e-01   3.355074e-21   2.961779e-09   4.861076e-22   72
  1.241824e-01   2.072975e-21   0.000000e+00   2.907556e-22   24
  1.257251e-01   1.766265e-21   0.000000e+00   1.821097e-22   96
  1.272490e-01   2.824527e-21   0.000000e+00   3.173685e-22   48
  1.287550e-01   2.491267e-21   2.433349e-09   4.626112e-22   24
  1.302436e-01   2.057788e-21   2.433349e-09   2.803714e-22   24
  1.317153e-01   1.688982e-21   0.000000e+00   2.036567e-22   72
  1.331707e-01   1.423769e-21   0.000000e+00   1.763273e-22   48
  1.360350e-01   1.706460e-21   1.490116e-09   7.700931e-22   8
  1.374447e-01   1.483045e-21   1.766064e-09   2.162921e-22   54
  1.388401e-01   2.145940e-21   0.000000e+00   2.679120e-22   84
  1.402216e-01   1.114436e-21   0.000000e+00   1.855139e-22   48
  1.415897e-01   1.127810e-21   1.986821e-09   1.668928e-22   24
  1.429446e-01   1.107941e-21   1.873193e-09   1.295267e-22   72
  1.442869e-01   1.444694e-21   0.000000e+00   1.278484e-22   96
  1.469345e-01   1.017512e-21   0.000000e+00   1.352591e-22   48
  1.482407e-01   1.011796e-21   0.000000e+00   1.254563e-22   48
  1.495354e-01   1.353595e-21   1.986821e-09   3.545164e-22   24
  1.508189e-01   1.383865e-21   0.000000e+00   1.589098e-22   72
  1.533539e-01   1.017384e-21   1.873193e-09   1.106960e-22   72
  1.546058e-01   1.028614e-21   0.000000e+00   1.035993e-22   96
  1.570796e-01   1.978773e-22   0.000000e+00   5.290513e-23   6
  1.583021e-01   8.519681e-22   0.000000e+00   9.248350e-23   96
  1.595151e-01   9.059131e-22   1.986821e-09   9.480852e-23   96
  1.607190e-01   1.562166e-21   0.000000e+00   2.376227e-22   24
  1.619140e-01   9.112021e-22   2.809790e-09   1.346394e-22   48
  1.631002e-01   7.736986e-22   0.000000e+00   8.666516e-23   96
  1.642778e-01   9.415263e-22   0.000000e+00   1.377928e-22   48
  1.666081e-01   7.734341e-22   0.000000e+00   1.377843e-22   36
  1.677611e-01   7.878312e-22   3.441276e-09   1.329929e-22   48
  1.689063e-01   5.664674e-22   3.893359e-09   4.811727e-23   120
  1.700437e-01   9.250464e-22   0.000000e+00   1.674531e-22   56
  1.711736e-01   6.737459e-22   1.986821e-09   8.420722e-23   24
  1.722960e-01   6.111463e-22   0.000000e+00   6.694800e-23   96
  1.734112e-01   6.705743e-22   0.000000e+00   8.557857e-23   48
  1.756204e-01   3.479280e-22   0.000000e+00   5.227495e-23   24
  1.767146e-01   5.330528e-22   0.000000e+00   5.231891e-23   102
  1.778021e-01   3.930329e-22   0.000000e+00   4.453864e-23   48
  1.788829e-01   5.205978e-22   0.000000e+00   6.452906e-23   72
  1.799573e-01   6.593568e-22   0.000000e+00   1.052004e-22   48
  1.810253e-01   3.938760e-22   0.000000e+00   3.424845e-23   48
  1.820871e-01   3.853316e-22   4.495664e-09   3.165261e-23   120
  1.841922e-01   3.201506e-22   2.809790e-09   5.827196e-23   24
  1.852358e-01   4.795190e-22   2.649095e-09   3.410803e-23   144
  1.862735e-01   4.159759e-22   3.178914e-09   3.795256e-23   120
  1.873055e-01   4.020430e-22   2.809790e-09   4.769728e-23   48
  1.893526e-01   4.571524e-22   2.809790e-09   7.793980e-23   48
  1.903679e-01   3.492356e-22   2.809790e-09   3.649255e-23   96
  1.930487e-01   3.294030e-22   4.711199e-04   3.444617e-23   72
  1.943761e-01   2.855300e-22   3.532127e-09   2.903218e-23   108
  1.953653e-01   3.605078e-22   0.000000e+00   4.053367e-23   72
  1.963495e-01   3.551171e-22   0.000000e+00   8.403195e-23   30
  1.973288e-01   3.692352e-22   0.000000e+00   2.656050e-23   168
  1.983033e-01   3.407816e-22   0.000000e+00   5.110217e-23   48
  2.002380e-01   2.817817e-22   0.000000e+00   3.048641e-23   72
  2.011984e-01   2.827661e-22   0.000000e+00   2.693828e-23   96
  2.021542e-01   2.874034e-22   5.298191e-09   3.244565e-23   72
  2.031055e-01   2.788781e-22   0.000000e+00   2.956506e-23   72
  2.047049e-01   2.888180e-22   4.350048e-04   3.175110e-23   104
  2.059331e-01   2.542508e-22   3.746387e-09   2.117240e-23   144
  2.087224e-01   2.522718e-22   6.282881e-09   2.594737e-23   96
  2.096439e-01   2.756964e-22   0.000000e+00   2.223533e-23   96
  2.111095e-01   2.274508e-22   4.475232e-04   1.884135e-23   120
  2.123845e-01   2.037578e-22   0.000000e+00   1.646462e-23   120
  2.132902e-01   1.999303e-22   0.000000e+00   2.614602e-23   72
  2.150901e-01   2.684505e-22   0.000000e+00   3.892373e-23   48
  2.159845e-01   2.158091e-22   4.235416e-09   2.270953e-23   78
  2.171286e-01   2.425199e-22   4.007142e-04   1.602896e-23   168
  2.195255e-01   2.187407e-22   3.746387e-09   2.269994e-23   144
  2.204018e-01   1.876382e-22   3.746387e-09   1.532527e-23   144
  2.229436e-01   1.913914e-22   2.307791e-04   1.470502e-23   156
  2.238729e-01   1.429781e-22   4.866699e-09   1.836851e-23   48
  2.247323e-01   1.492934e-22   3.178914e-09   1.489883e-23   120
  2.255884e-01   1.874935e-22   0.000000e+00   2.482643e-23   48
  2.271022e-01   1.888384e-22   3.532495e-04   1.382428e-23   216
  2.289809e-01   2.377250e-22   0.000000e+00   4.091620e-23   48
  2.298212e-01   1.483764e-22   2.809790e-09   1.420057e-23   96
  2.310160e-01   1.659410e-22   4.128272e-04   1.316411e-23   168
  2.323239e-01   1.797669e-22   2.809790e-09   2.241556e-23   48
  2.331522e-01   1.698866e-22   0.000000e+00   1.271551e-23   96
  2.339775e-01   1.164131e-22   0.000000e+00   1.765612e-23   48
  2.356194e-01   1.407733e-22   3.178914e-09   2.302458e-23   30
  2.364362e-01   1.524102e-22   2.809790e-09   1.605851e-23   96
  2.374123e-01   1.416745e-22   3.244455e-04   8.723252e-24   240
  2.386674e-01   1.274433e-22   3.500299e-04   1.469703e-23   32
  2.396752e-01   1.067514e-22   0.000000e+00   8.528713e-24   168
  2.404781e-01   1.028108e-22   0.000000e+00   8.123981e-24   120
  2.420760e-01   1.139770e-22   5.923557e-09   1.021741e-23   72
  2.428710e-01   9.561499e-23   3.746387e-09   6.973844e-24   144
  2.436634e-01   1.043766e-22   0.000000e+00   1.217538e-23   96
  2.444532e-01   1.368344e-22   0.000000e+00   1.210133e-23   96
  2.460253e-01   1.265404e-22   4.588368e-09   1.501655e-23   72
