# power spectrum of chi
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.342185e-20   0.000000e+00   2.886888e-20   6
  2.776802e-02   1.324330e-19   0.000000e+00   3.690689e-20   12
  3.400874e-02   8.232052e-20   3.725290e-10   1.661136e-20   8
  3.926991e-02   5.749911e-20   0.000000e+00   1.999826e-20   6
  4.390509e-02   7.635441e-20   0.000000e+00   1.893764e-20   24
  4.809562e-02   6.482090e-20   7.024475e-10   1.025957e-20   24
  5.553604e-02   3.141902e-20   0.000000e+00   1.197945e-20   12
  5.890486e-02   3.659264e-20   7.947286e-10   5.413203e-21   30
  6.209118e-02   2.268480e-20   0.000000e+00   3.304140e-21   24
  6.512178e-02   1.529085e-20   1.216675e-09   4.171405e-21   24
  6.801748e-02   3.295210e-20   7.450581e-10   6.063272e-21   8
  7.079483e-02   1.513054e-20   9.934107e-10   2.936146e-21   24
  7.346727e-02   1.243365e-20   0.000000e+00   1.670862e-21   48
  7.853982e-02   1.163679e-20   0.000000e+00   6.017322e-22   6
  8.095699e-02   1.142284e-20   1.404895e-09   1.133924e-21   48
  8.330406e-02   7.201172e-21   0.000000e+00   1.315921e-21   36
  8.558678e-02   6.964002e-21   9.934107e-10   1.618953e-21   24
  8.781018e-02   7.356200e-21   0.000000e+00   1.118867e-21   24
  8.997866e-02   6.478242e-21   0.000000e+00   9.714852e-22   48
  9.209610e-02   1.330503e-20   1.404895e-09   2.637972e-21   24
  9.619124e-02   7.745313e-21   1.404895e-09   1.539809e-21   24
  9.817477e-02   4.200978e-21   0.000000e+00   1.120483e-21   30
  1.001190e-01   4.888189e-21   0.000000e+00   3.645484e-22   72
  1.020262e-01   3.256475e-21   1.490116e-09   5.728448e-22   32
  1.057375e-01   5.403146e-21   0.000000e+00   5.590500e-22   72
  1.075451e-01   3.094651e-21   0.000000e+00   4.177943e-22   48
  1.110721e-01   3.094368e-21   0.000000e+00   3.471557e-22   12
  1.127942e-01   3.140485e-21   0.000000e+00   4.293467e-22   48
  1.144905e-01   3.177096e-21   0.000000e+00   4.073347e-22   48
  1.161620e-01   1.457076e-21   1.404895e-09   1.880832e-22   48
  1.178097e-01   2.541203e-21   1.589457e-09   3.703869e-22   30
  1.194348e-01   1.247797e-21   1.404895e-09   2.747413e-22   24
