# power spectrum of phi
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.480668e-10   0.000000e+00   5.395096e-11   6
  2.776802e-02   2.204755e-10   0.000000e+00   4.865715e-11   12
  3.400874e-02   1.138390e-10   3.725290e-10   3.222304e-11   8
  3.926991e-02   9.614851e-11   0.000000e+00   2.767973e-11   6
  4.390509e-02   7.077346e-11   0.000000e+00   9.308467e-12   24
  4.809562e-02   6.402148e-11   7.024475e-10   1.257575e-11   24
  5.553604e-02   1.596437e-11   0.000000e+00   3.987618e-12   12
  5.890486e-02   4.590229e-11   7.947286e-10   5.682903e-12   30
  6.209118e-02   2.792440e-11   0.000000e+00   4.968605e-12   24
  6.512178e-02   3.176066e-11   1.216675e-09   6.656431e-12   24
  6.801748e-02   6.169500e-11   7.450581e-10   2.291659e-11   8
  7.079483e-02   2.188861e-11   9.934107e-10   4.246840e-12   24
  7.346727e-02   2.317849e-11   0.000000e+00   2.734016e-12   48
  7.853982e-02   1.501361e-11   0.000000e+00   1.670313e-12   6
  8.095699e-02   2.535577e-11   1.404895e-09   2.794214e-12   48
  8.330406e-02   2.432396e-11   0.000000e+00   3.579613e-12   36
  8.558678e-02   1.204285e-11   9.934107e-10   2.757415e-12   24
  8.781018e-02   1.615276e-11   0.000000e+00   2.267173e-12   24
  8.997866e-02   1.369662e-11   0.000000e+00   1.700289e-12   48
  9.209610e-02   2.500648e-11   1.404895e-09   4.616728e-12   24
  9.619124e-02   1.383199e-11   1.404895e-09   2.794648e-12   24
  9.817477e-02   1.471242e-11   0.000000e+00   2.310060e-12   30
  1.001190e-01   1.439196e-11   0.000000e+00   1.427244e-12   72
  1.020262e-01   1.479718e-11   1.490116e-09   2.156486e-12   32
  1.057375e-01   9.975011e-12   0.000000e+00   1.691046e-12   72
  1.075451e-01   1.041286e-11   0.000000e+00   1.266096e-12   48
  1.110721e-01   4.500946e-12   0.000000e+00   9.395254e-13   12
  1.127942e-01   1.158239e-11   0.000000e+00   1.519651e-12   48
  1.144905e-01   1.089759e-11   0.000000e+00   1.588580e-12   48
  1.161620e-01   6.976995e-12   1.404895e-09   1.016954e-12   48
  1.178097e-01   7.644487e-12   1.589457e-09   1.014209e-12   30
  1.194348e-01   7.592359e-12   1.404895e-09   1.193482e-12   24
  1.210380e-01   7.887342e-12   2.961779e-09   8.016728e-13   72
  1.241824e-01   6.376223e-12   0.000000e+00   2.279506e-12   24
  1.257251e-01   9.954115e-12   0.000000e+00   9.362072e-13   96
  1.272490e-01   5.197002e-12   0.000000e+00   9.389036e-13   48
  1.287550e-01   6.889957e-12   2.433349e-09   1.174371e-12   24
  1.302436e-01   1.225331e-11   2.433349e-09   2.360560e-12   24
  1.317153e-01   7.679336e-12   0.000000e+00   1.027947e-12   72
  1.331707e-01   8.074046e-12   0.000000e+00   1.144060e-12   48
  1.360350e-01   1.112718e-11   1.490116e-09   3.098779e-12   8
  1.374447e-01   6.174557e-12   1.766064e-09   6.171753e-13   54
  1.388401e-01   6.219461e-12   0.000000e+00   7.240068e-13   84
  1.402216e-01   5.024073e-12   0.000000e+00   6.649002e-13   48
  1.415897e-01   5.494713e-12   1.986821e-09   1.561703e-12   24
  1.429446e-01   5.756133e-12   1.873193e-09   6.288630e-13   72
  1.442869e-01   5.448423e-12   0.000000e+00   4.490041e-13   96
  1.469345e-01   6.164544e-12   0.000000e+00   6.908324e-13   48
  1.482407e-01   5.460124e-12   0.000000e+00   5.782054e-13   48
  1.495354e-01   5.735497e-12   1.986821e-09   1.365441e-12   24
  1.508189e-01   4.116027e-12   0.000000e+00   5.145783e-13   72
  1.533539e-01   5.064306e-12   1.873193e-09   6.641299e-13   72
  1.546058e-01   3.325022e-12   0.000000e+00   3.093186e-13   96
  1.570796e-01   8.243196e-13   0.000000e+00   4.480401e-13   6
  1.583021e-01   3.238133e-12   0.000000e+00   3.686741e-13   96
  1.595151e-01   3.908608e-12   1.986821e-09   3.048755e-13   96
  1.607190e-01   2.877453e-12   0.000000e+00   2.164209e-13   24
  1.619140e-01   3.795698e-12   2.809790e-09   5.856334e-13   48
  1.631002e-01   2.821952e-12   0.000000e+00   2.730657e-13   96
  1.642778e-01   3.340747e-12   0.000000e+00   3.808733e-13   48
  1.666081e-01   2.838909e-12   0.000000e+00   5.411354e-13   36
  1.677611e-01   2.428987e-12   3.441276e-09   3.956939e-13   48
  1.689063e-01   3.098140e-12   3.893359e-09   2.343928e-13   120
  1.700437e-01   3.163976e-12   0.000000e+00   3.932844e-13   56
  1.711736e-01   2.352845e-12   1.986821e-09   5.262365e-13   24
  1.722960e-01   2.969035e-12   0.000000e+00   3.020576e-13   96
  1.734112e-01   3.316240e-12   0.000000e+00   4.570987e-13   48
  1.756204e-01   2.554697e-12   0.000000e+00   5.105157e-13   24
  1.767146e-01   3.549574e-12   0.000000e+00   2.830438e-13   102
  1.778021e-01   3.892244e-12   0.000000e+00   7.002682e-13   48
  1.788829e-01   4.546259e-12   0.000000e+00   4.148427e-13   72
  1.799573e-01   2.956636e-12   0.000000e+00   4.536123e-13   48
  1.810253e-01   3.276975e-12   0.000000e+00   4.809571e-13   48
  1.820871e-01   2.932091e-12   4.495664e-09   2.841314e-13   120
  1.841922e-01   2.126898e-12   2.809790e-09   4.065945e-13   24
  1.852358e-01   2.982942e-12   2.649095e-09   2.243314e-13   144
  1.862735e-01   3.332723e-12   3.178914e-09   3.169739e-13   120
  1.873055e-01   2.592763e-12   2.809790e-09   3.119184e-13   48
  1.893526e-01   2.843992e-12   2.809790e-09   4.225634e-13   48
  1.903679e-01   2.664417e-12   2.809790e-09   2.444828e-13   96
  1.930487e-01   2.377398e-12   4.711199e-04   2.662515e-13   72
  1.943761e-01   2.638446e-12   3.532127e-09   2.686860e-13   108
  1.953653e-01   2.156064e-12   0.000000e+00   1.999205e-13   72
  1.963495e-01   2.586435e-12   0.000000e+00   3.509552e-13   30
  1.973288e-01   2.326378e-12   0.000000e+00   1.897891e-13   168
  1.983033e-01   2.315107e-12   0.000000e+00   3.182193e-13   48
  2.002380e-01   2.280060e-12   0.000000e+00   2.501348e-13   72
  2.011984e-01   2.484949e-12   0.000000e+00   2.645851e-13   96
  2.021542e-01   2.273421e-12   5.298191e-09   2.744953e-13   72
  2.031055e-01   1.893353e-12   0.000000e+00   1.694473e-13   72
  2.047049e-01   1.775116e-12   4.350048e-04   1.728812e-13   104
  2.059331e-01   2.365075e-12   3.746387e-09   1.828379e-13   144
  2.087224e-01   2.404807e-12   6.282881e-09   2.594024e-13   96
  2.096439e-01   1.811075e-12   0.000000e+00   1.743246e-13   96
  2.111095e-01   1.775998e-12   4.475232e-04   1.566590e-13   120
  2.123845e-01   1.513937e-12   0.000000e+00   1.502211e-13   120
  2.132902e-01   2.145886e-12   0.000000e+00   2.595450e-13   72
