# power spectrum of chi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   7.442284e-20   0.000000e+00   2.600104e-20   6
  2.776802e-02   1.128463e-19   0.000000e+00   3.292142e-20   12
  3.400874e-02   7.392771e-20   3.725290e-10   1.525955e-20   8
  3.926991e-02   4.656483e-20   0.000000e+00   1.725688e-20   6
  4.390509e-02   6.312551e-20   0.000000e+00   1.563344e-20   24
  4.809562e-02   5.470366e-20   7.024475e-10   8.341961e-21   24
  5.553604e-02   2.514442e-20   0.000000e+00   9.868290e-21   12
  5.890486e-02   2.978054e-20   7.947286e-10   4.237097e-21   30
  6.209118e-02   1.976080e-20   0.000000e+00   2.877008e-21   24
  6.512178e-02   1.285514e-20   1.216675e-09   3.599553e-21   24
  6.801748e-02   2.459120e-20   7.450581e-10   3.387085e-21   8
  7.079483e-02   1.197407e-20   9.934107e-10   2.075116e-21   24
  7.346727e-02   1.050416e-20   0.000000e+00   1.203233e-21   48
  7.853982e-02   9.915449e-21   0.000000e+00   3.265412e-22   6
  8.095699e-02   9.355209e-21   1.404895e-09   8.770610e-22   48
  8.330406e-02   5.790271e-21   0.000000e+00   1.003611e-21   36
  8.558678e-02   6.271494e-21   9.934107e-10   1.532516e-21   24
  8.781018e-02   6.560236e-21   0.000000e+00   8.645706e-22   24
  8.997866e-02   5.415243e-21   0.000000e+00   6.860649e-22   48
  9.209610e-02   1.016478e-20   1.404895e-09   1.940205e-21   24
  9.619124e-02   5.457973e-21   1.404895e-09   1.146829e-21   24
  9.817477e-02   3.480110e-21   0.000000e+00   8.908073e-22   30
  1.001190e-01   4.400189e-21   0.000000e+00   2.929019e-22   72
  1.020262e-01   2.557607e-21   1.490116e-09   4.424060e-22   32
  1.057375e-01   4.323302e-21   0.000000e+00   4.720406e-22   72
  1.075451e-01   2.534553e-21   0.000000e+00   3.270316e-22   48
  1.110721e-01   1.958527e-21   0.000000e+00   3.658526e-22   12
  1.127942e-01   2.472072e-21   0.000000e+00   4.047685e-22   48
  1.144905e-01   2.661410e-21   0.000000e+00   3.562989e-22   48
  1.161620e-01   1.075796e-21   1.404895e-09   1.500376e-22   48
  1.178097e-01   2.636694e-21   1.589457e-09   3.927988e-22   30
  1.194348e-01   1.373717e-21   1.404895e-09   3.592082e-22   24
  1.210380e-01   1.945805e-21   2.961779e-09   2.181340e-22   72
  1.241824e-01   1.570333e-21   0.000000e+00   2.035802e-22   24
  1.257251e-01   1.367239e-21   0.000000e+00   1.244221e-22   96
  1.272490e-01   1.538494e-21   0.000000e+00   1.734203e-22   48
  1.287550e-01   2.424391e-21   2.433349e-09   2.818009e-22   24
  1.302436e-01   1.526847e-21   2.433349e-09   2.436174e-22   24
  1.317153e-01   1.488764e-21   0.000000e+00   1.485497e-22   72
  1.331707e-01   1.417196e-21   0.000000e+00   1.999357e-22   48
  1.360350e-01   8.076787e-22   1.490116e-09   3.710018e-22   8
  1.374447e-01   1.121380e-21   1.766064e-09   1.376350e-22   54
  1.388401e-01   1.436571e-21   0.000000e+00   1.783933e-22   84
  1.402216e-01   1.043946e-21   0.000000e+00   1.365877e-22   48
  1.415897e-01   1.082955e-21   1.986821e-09   1.920838e-22   24
  1.429446e-01   9.017913e-22   1.873193e-09   9.945079e-23   72
  1.442869e-01   1.021846e-21   0.000000e+00   8.467044e-23   96
  1.469345e-01   1.014042e-21   0.000000e+00   1.131564e-22   48
  1.482407e-01   6.449750e-22   0.000000e+00   8.723424e-23   48
  1.495354e-01   1.202915e-21   1.986821e-09   2.729751e-22   24
  1.508189e-01   7.468917e-22   0.000000e+00   9.040076e-23   72
  1.533539e-01   8.220216e-22   1.873193e-09   8.731172e-23   72
  1.546058e-01   6.860530e-22   0.000000e+00   6.906284e-23   96
  1.570796e-01   1.039925e-21   0.000000e+00   3.831957e-22   6
  1.583021e-01   5.745787e-22   0.000000e+00   5.289081e-23   96
  1.595151e-01   6.747234e-22   1.986821e-09   7.230282e-23   96
  1.607190e-01   7.432337e-22   0.000000e+00   9.778955e-23   24
  1.619140e-01   6.402124e-22   2.809790e-09   1.130854e-22   48
  1.631002e-01   6.720061e-22   0.000000e+00   6.751424e-23   96
  1.642778e-01   5.583032e-22   0.000000e+00   6.508530e-23   48
  1.666081e-01   6.797939e-22   0.000000e+00   7.571516e-23   36
  1.677611e-01   4.661590e-22   3.441276e-09   7.731762e-23   48
  1.689063e-01   4.641454e-22   3.893359e-09   3.870519e-23   120
  1.700437e-01   4.748939e-22   0.000000e+00   9.534829e-23   56
  1.711736e-01   3.776752e-22   1.986821e-09   9.432058e-23   24
  1.722960e-01   4.662418e-22   0.000000e+00   4.553823e-23   96
  1.734112e-01   4.150825e-22   0.000000e+00   5.784550e-23   48
  1.756204e-01   3.186611e-22   0.000000e+00   4.497850e-23   24
  1.767146e-01   3.995874e-22   0.000000e+00   4.511493e-23   102
