# power spectrum of hij
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.229907e-19   0.000000e+00   1.948443e-19   6
  2.776802e-02   3.359969e-19   0.000000e+00   3.096941e-20   12
  3.400874e-02   1.449783e-19   3.725290e-10   1.786094e-20   8
  3.926991e-02   1.275268e-19   0.000000e+00   1.677859e-20   6
  4.390509e-02   1.025099e-19   0.000000e+00   1.014370e-20   24
  4.809562e-02   4.239410e-20   7.024475e-10   6.777950e-21   24
  5.553604e-02   4.580212e-20   0.000000e+00   5.948649e-21   12
  5.890486e-02   2.124656e-20   7.947286e-10   1.810425e-21   30
  6.209118e-02   1.842345e-20   0.000000e+00   2.321203e-21   24
  6.512178e-02   2.137468e-20   1.216675e-09   2.774764e-21   24
  6.801748e-02   1.232334e-20   7.450581e-10   3.785862e-21   8
  7.079483e-02   1.260267e-20   9.934107e-10   1.487937e-21   24
  7.346727e-02   1.082071e-20   0.000000e+00   1.030814e-21   48
  7.853982e-02   9.599688e-21   0.000000e+00   1.737090e-21   6
  8.095699e-02   7.452303e-21   1.404895e-09   6.868802e-22   48
  8.330406e-02   7.745471e-21   0.000000e+00   8.893469e-22   36
  8.558678e-02   5.802436e-21   9.934107e-10   9.386828e-22   24
  8.781018e-02   5.900823e-21   0.000000e+00   8.196853e-22   24
  8.997866e-02   3.948178e-21   0.000000e+00   4.180065e-22   48
  9.209610e-02   4.673494e-21   1.404895e-09   7.234775e-22   24
  9.619124e-02   3.359005e-21   1.404895e-09   4.060769e-22   24
  9.817477e-02   4.324628e-21   0.000000e+00   6.306470e-22   30
  1.001190e-01   2.403710e-21   0.000000e+00   2.076089e-22   72
  1.020262e-01   2.620491e-21   1.490116e-09   2.755571e-22   32
  1.057375e-01   2.664076e-21   0.000000e+00   2.255090e-22   72
  1.075451e-01   2.250260e-21   0.000000e+00   2.179989e-22   48
  1.110721e-01   1.491518e-21   0.000000e+00   3.100617e-22   12
  1.127942e-01   1.576218e-21   0.000000e+00   1.202419e-22   48
  1.144905e-01   1.684876e-21   0.000000e+00   1.043605e-22   48
  1.161620e-01   1.471992e-21   1.404895e-09   1.226138e-22   48
  1.178097e-01   1.194441e-21   1.589457e-09   1.932595e-22   30
  1.194348e-01   1.393482e-21   1.404895e-09   1.622454e-22   24
  1.210380e-01   1.184631e-21   2.961779e-09   8.847618e-23   72
  1.241824e-01   7.911554e-22   0.000000e+00   8.498522e-23   24
  1.257251e-01   9.057141e-22   0.000000e+00   6.073646e-23   96
  1.272490e-01   1.006237e-21   0.000000e+00   7.480786e-23   48
  1.287550e-01   6.795109e-22   2.433349e-09   6.656990e-23   24
  1.302436e-01   8.196539e-22   2.433349e-09   8.212517e-23   24
  1.317153e-01   7.637005e-22   0.000000e+00   5.009742e-23   72
  1.331707e-01   9.315003e-22   0.000000e+00   6.147423e-23   48
  1.360350e-01   6.317000e-22   1.490116e-09   8.598634e-23   8
  1.374447e-01   5.953481e-22   1.766064e-09   6.575370e-23   54
  1.388401e-01   5.621883e-22   0.000000e+00   4.350312e-23   84
  1.402216e-01   5.270388e-22   0.000000e+00   7.078515e-23   48
  1.415897e-01   5.988140e-22   1.986821e-09   5.464909e-23   24
  1.429446e-01   4.538619e-22   1.873193e-09   4.680218e-23   72
  1.442869e-01   4.413286e-22   0.000000e+00   4.133141e-23   96
  1.469345e-01   4.312119e-22   0.000000e+00   2.816921e-23   48
  1.482407e-01   4.913844e-22   0.000000e+00   4.180789e-23   48
  1.495354e-01   3.127965e-22   1.986821e-09   5.697766e-23   24
  1.508189e-01   4.215886e-22   0.000000e+00   2.904924e-23   72
  1.533539e-01   3.412123e-22   1.873193e-09   3.638212e-23   72
  1.546058e-01   2.948478e-22   0.000000e+00   1.891761e-23   96
  1.570796e-01   2.684802e-22   0.000000e+00   4.794353e-23   6
  1.583021e-01   2.988425e-22   0.000000e+00   2.183720e-23   96
  1.595151e-01   3.184689e-22   1.986821e-09   2.001701e-23   96
  1.607190e-01   3.635885e-22   0.000000e+00   2.941615e-23   24
  1.619140e-01   2.820692e-22   2.809790e-09   2.378255e-23   48
  1.631002e-01   2.183921e-22   0.000000e+00   1.680797e-23   96
  1.642778e-01   2.323288e-22   0.000000e+00   1.955566e-23   48
  1.666081e-01   2.517756e-22   0.000000e+00   2.667938e-23   36
  1.677611e-01   2.374715e-22   3.441276e-09   2.063813e-23   48
  1.689063e-01   2.034531e-22   3.893359e-09   1.307697e-23   120
  1.700437e-01   2.066067e-22   0.000000e+00   2.441421e-23   56
  1.711736e-01   2.109737e-22   1.986821e-09   3.163843e-23   24
  1.722960e-01   1.956472e-22   0.000000e+00   1.768267e-23   96
  1.734112e-01   1.851106e-22   0.000000e+00   2.279309e-23   48
  1.756204e-01   2.200411e-22   0.000000e+00   3.100418e-23   24
  1.767146e-01   1.596102e-22   0.000000e+00   1.118712e-23   102
  1.778021e-01   1.853894e-22   0.000000e+00   1.981440e-23   48
  1.788829e-01   1.691104e-22   0.000000e+00   1.255527e-23   72
  1.799573e-01   1.407290e-22   0.000000e+00   1.798506e-23   48
  1.810253e-01   1.743756e-22   0.000000e+00   1.640515e-23   48
  1.820871e-01   1.701141e-22   4.495664e-09   1.144214e-23   120
  1.841922e-01   1.193011e-22   2.809790e-09   1.678779e-23   24
  1.852358e-01   1.312099e-22   2.649095e-09   8.406535e-24   144
  1.862735e-01   1.269007e-22   3.178914e-09   7.801284e-24   120
  1.873055e-01   1.383142e-22   2.809790e-09   1.236313e-23   48
  1.893526e-01   1.253597e-22   2.809790e-09   1.096852e-23   48
  1.903679e-01   1.054030e-22   2.809790e-09   6.583511e-24   96
  1.930487e-01   9.397062e-23   4.711199e-04   6.533450e-24   72
  1.943761e-01   9.398588e-23   3.532127e-09   5.381663e-24   108
  1.953653e-01   9.410840e-23   0.000000e+00   7.256837e-24   72
  1.963495e-01   8.385092e-23   0.000000e+00   5.289728e-24   30
  1.973288e-01   9.707042e-23   0.000000e+00   4.477754e-24   168
  1.983033e-01   7.151352e-23   0.000000e+00   7.942659e-24   48
  2.002380e-01   8.492657e-23   0.000000e+00   6.997258e-24   72
  2.011984e-01   7.841911e-23   0.000000e+00   4.964502e-24   96
  2.021542e-01   8.894300e-23   5.298191e-09   5.749164e-24   72
  2.031055e-01   7.697644e-23   0.000000e+00   3.953737e-24   72
  2.047049e-01   7.000736e-23   4.350048e-04   4.772259e-24   104
  2.059331e-01   7.080662e-23   3.746387e-09   5.503171e-24   144
  2.087224e-01   6.636040e-23   6.282881e-09   3.431043e-24   96
  2.096439e-01   6.518490e-23   0.000000e+00   5.337716e-24   96
  2.111095e-01   7.197109e-23   4.475232e-04   4.144705e-24   120
  2.123845e-01   6.361689e-23   0.000000e+00   3.831760e-24   120
  2.132902e-01   7.381845e-23   0.000000e+00   6.357951e-24   72
  2.150901e-01   6.593566e-23   0.000000e+00   6.318908e-24   48
  2.159845e-01   6.869068e-23   4.235416e-09   4.977969e-24   78
  2.171286e-01   5.746458e-23   4.007142e-04   2.730272e-24   168
  2.195255e-01   5.686961e-23   3.746387e-09   3.500375e-24   144
  2.204018e-01   4.756029e-23   3.746387e-09   2.706386e-24   144
  2.229436e-01   4.720728e-23   2.307791e-04   3.132896e-24   156
  2.238729e-01   5.163111e-23   4.866699e-09   6.171606e-24   48
  2.247323e-01   4.696368e-23   3.178914e-09   2.573796e-24   120
  2.255884e-01   4.341008e-23   0.000000e+00   4.139600e-24   48
  2.271022e-01   4.129944e-23   3.532495e-04   2.240535e-24   216
  2.289809e-01   4.056021e-23   0.000000e+00   2.962175e-24   48
  2.298212e-01   4.198116e-23   2.809790e-09   2.976483e-24   96
  2.310160e-01   3.779890e-23   4.128272e-04   1.912703e-24   168
  2.323239e-01   2.722533e-23   2.809790e-09   2.586384e-24   48
  2.331522e-01   3.968588e-23   0.000000e+00   2.160794e-24   96
  2.339775e-01   4.375188e-23   0.000000e+00   3.900577e-24   48
  2.356194e-01   5.135012e-23   3.178914e-09   5.102446e-24   30
  2.364362e-01   3.285618e-23   2.809790e-09   2.208568e-24   96
  2.374123e-01   3.279901e-23   3.244455e-04   1.514302e-24   240
  2.386674e-01   3.791138e-23   3.500299e-04   5.230797e-24   32
