# power spectrum of hij
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.354412e-19   0.000000e+00   1.993355e-19   6
  2.776802e-02   3.438070e-19   0.000000e+00   3.156494e-20   12
  3.400874e-02   1.477462e-19   3.725290e-10   1.830524e-20   8
  3.926991e-02   1.306936e-19   0.000000e+00   1.726476e-20   6
  4.390509e-02   1.049221e-19   0.000000e+00   1.039989e-20   24
  4.809562e-02   4.330319e-20   7.024475e-10   6.886837e-21   24
  5.553604e-02   4.697588e-20   0.000000e+00   6.131936e-21   12
  5.890486e-02   2.186289e-20   7.947286e-10   1.864272e-21   30
  6.209118e-02   1.891907e-20   0.000000e+00   2.365412e-21   24
  6.512178e-02   2.189361e-20   1.216675e-09   2.844542e-21   24
  6.801748e-02   1.258250e-20   7.450581e-10   3.858440e-21   8
  7.079483e-02   1.298593e-20   9.934107e-10   1.525790e-21   24
  7.346727e-02   1.114251e-20   0.000000e+00   1.061992e-21   48
  7.853982e-02   9.945535e-21   0.000000e+00   1.792663e-21   6
  8.095699e-02   7.717819e-21   1.404895e-09   7.091774e-22   48
  8.330406e-02   7.998512e-21   0.000000e+00   9.191702e-22   36
  8.558678e-02   6.030541e-21   9.934107e-10   9.683787e-22   24
  8.781018e-02   6.121734e-21   0.000000e+00   8.455878e-22   24
  8.997866e-02   4.083535e-21   0.000000e+00   4.318312e-22   48
  9.209610e-02   4.802220e-21   1.404895e-09   7.476926e-22   24
  9.619124e-02   3.494367e-21   1.404895e-09   4.225878e-22   24
  9.817477e-02   4.503829e-21   0.000000e+00   6.537368e-22   30
  1.001190e-01   2.491447e-21   0.000000e+00   2.148131e-22   72
  1.020262e-01   2.727619e-21   1.490116e-09   2.879043e-22   32
  1.057375e-01   2.768865e-21   0.000000e+00   2.330808e-22   72
  1.075451e-01   2.365982e-21   0.000000e+00   2.282500e-22   48
  1.110721e-01   1.548221e-21   0.000000e+00   3.190295e-22   12
  1.127942e-01   1.655922e-21   0.000000e+00   1.255264e-22   48
  1.144905e-01   1.757417e-21   0.000000e+00   1.087319e-22   48
  1.161620e-01   1.544046e-21   1.404895e-09   1.283331e-22   48
  1.178097e-01   1.244218e-21   1.589457e-09   2.014105e-22   30
  1.194348e-01   1.472396e-21   1.404895e-09   1.720770e-22   24
  1.210380e-01   1.241221e-21   2.961779e-09   9.271902e-23   72
  1.241824e-01   8.261124e-22   0.000000e+00   8.948740e-23   24
  1.257251e-01   9.531804e-22   0.000000e+00   6.336917e-23   96
  1.272490e-01   1.051604e-21   0.000000e+00   7.873620e-23   48
  1.287550e-01   7.188114e-22   2.433349e-09   7.050291e-23   24
  1.302436e-01   8.587855e-22   2.433349e-09   8.402893e-23   24
  1.317153e-01   8.036273e-22   0.000000e+00   5.266767e-23   72
  1.331707e-01   9.791419e-22   0.000000e+00   6.420459e-23   48
  1.360350e-01   6.811553e-22   1.490116e-09   8.864388e-23   8
  1.374447e-01   6.272730e-22   1.766064e-09   6.852958e-23   54
  1.388401e-01   5.966092e-22   0.000000e+00   4.588554e-23   84
  1.402216e-01   5.626448e-22   0.000000e+00   7.501103e-23   48
  1.415897e-01   6.303566e-22   1.986821e-09   5.736948e-23   24
  1.429446e-01   4.792664e-22   1.873193e-09   4.927208e-23   72
  1.442869e-01   4.665233e-22   0.000000e+00   4.337919e-23   96
  1.469345e-01   4.596184e-22   0.000000e+00   2.957689e-23   48
  1.482407e-01   5.210978e-22   0.000000e+00   4.401030e-23   48
  1.495354e-01   3.342406e-22   1.986821e-09   6.115572e-23   24
  1.508189e-01   4.501896e-22   0.000000e+00   3.094847e-23   72
  1.533539e-01   3.631916e-22   1.873193e-09   3.839824e-23   72
  1.546058e-01   3.153981e-22   0.000000e+00   2.015647e-23   96
  1.570796e-01   2.830293e-22   0.000000e+00   4.969090e-23   6
  1.583021e-01   3.190227e-22   0.000000e+00   2.310679e-23   96
  1.595151e-01   3.392347e-22   1.986821e-09   2.117720e-23   96
  1.607190e-01   3.873846e-22   0.000000e+00   3.166990e-23   24
  1.619140e-01   2.996046e-22   2.809790e-09   2.493303e-23   48
  1.631002e-01   2.337693e-22   0.000000e+00   1.795854e-23   96
  1.642778e-01   2.495964e-22   0.000000e+00   2.124419e-23   48
  1.666081e-01   2.683414e-22   0.000000e+00   2.799634e-23   36
  1.677611e-01   2.543019e-22   3.441276e-09   2.204553e-23   48
  1.689063e-01   2.189888e-22   3.893359e-09   1.405752e-23   120
  1.700437e-01   2.222259e-22   0.000000e+00   2.630223e-23   56
  1.711736e-01   2.256387e-22   1.986821e-09   3.396430e-23   24
  1.722960e-01   2.115007e-22   0.000000e+00   1.882751e-23   96
  1.734112e-01   1.987724e-22   0.000000e+00   2.463493e-23   48
  1.756204e-01   2.336539e-22   0.000000e+00   3.223905e-23   24
  1.767146e-01   1.722313e-22   0.000000e+00   1.216996e-23   102
  1.778021e-01   1.994634e-22   0.000000e+00   2.102022e-23   48
  1.788829e-01   1.816028e-22   0.000000e+00   1.341434e-23   72
  1.799573e-01   1.503715e-22   0.000000e+00   1.926919e-23   48
  1.810253e-01   1.883584e-22   0.000000e+00   1.761342e-23   48
  1.820871e-01   1.837749e-22   4.495664e-09   1.222129e-23   120
  1.841922e-01   1.303156e-22   2.809790e-09   1.795515e-23   24
  1.852358e-01   1.417393e-22   2.649095e-09   9.084326e-24   144
  1.862735e-01   1.367473e-22   3.178914e-09   8.428386e-24   120
  1.873055e-01   1.509467e-22   2.809790e-09   1.378455e-23   48
  1.893526e-01   1.358765e-22   2.809790e-09   1.199974e-23   48
  1.903679e-01   1.141040e-22   2.809790e-09   6.991259e-24   96
  1.930487e-01   1.024973e-22   4.711199e-04   7.037571e-24   72
  1.943761e-01   1.017873e-22   3.532127e-09   5.834912e-24   108
  1.953653e-01   1.021316e-22   0.000000e+00   7.660548e-24   72
  1.963495e-01   9.179468e-23   0.000000e+00   5.987934e-24   30
  1.973288e-01   1.060099e-22   0.000000e+00   4.913233e-24   168
  1.983033e-01   7.737693e-23   0.000000e+00   8.621567e-24   48
  2.002380e-01   9.275628e-23   0.000000e+00   7.571544e-24   72
  2.011984e-01   8.544251e-23   0.000000e+00   5.361580e-24   96
  2.021542e-01   9.733365e-23   5.298191e-09   6.139965e-24   72
  2.031055e-01   8.445628e-23   0.000000e+00   4.441740e-24   72
  2.047049e-01   7.694212e-23   4.350048e-04   5.179475e-24   104
  2.059331e-01   7.740528e-23   3.746387e-09   5.964852e-24   144
  2.087224e-01   7.275913e-23   6.282881e-09   3.725792e-24   96
  2.096439e-01   7.174629e-23   0.000000e+00   5.846464e-24   96
  2.111095e-01   7.934355e-23   4.475232e-04   4.546825e-24   120
  2.123845e-01   6.991176e-23   0.000000e+00   4.138664e-24   120
  2.132902e-01   8.168530e-23   0.000000e+00   7.048304e-24   72
  2.150901e-01   7.225634e-23   0.000000e+00   6.896020e-24   48
  2.159845e-01   7.516795e-23   4.235416e-09   5.356160e-24   78
  2.171286e-01   6.310252e-23   4.007142e-04   2.981571e-24   168
  2.195255e-01   6.294467e-23   3.746387e-09   3.857599e-24   144
  2.204018e-01   5.242773e-23   3.746387e-09   2.949919e-24   144
  2.229436e-01   5.223027e-23   2.307791e-04   3.463847e-24   156
  2.238729e-01   5.707361e-23   4.866699e-09   6.753108e-24   48
