# power spectrum of hij
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.020615e-19   0.000000e+00   1.863443e-19   6
  2.776802e-02   3.250102e-19   0.000000e+00   3.009556e-20   12
  3.400874e-02   1.412593e-19   3.725290e-10   1.714878e-20   8
  3.926991e-02   1.229299e-19   0.000000e+00   1.577152e-20   6
  4.390509e-02   9.927862e-20   0.000000e+00   9.819754e-21   24
  4.809562e-02   4.129420e-20   7.024475e-10   6.679024e-21   24
  5.553604e-02   4.421605e-20   0.000000e+00   5.690411e-21   12
  5.890486e-02   2.035343e-20   7.947286e-10   1.742628e-21   30
  6.209118e-02   1.782391e-20   0.000000e+00   2.299130e-21   24
  6.512178e-02   2.081184e-20   1.216675e-09   2.719838e-21   24
  6.801748e-02   1.215616e-20   7.450581e-10   3.709596e-21   8
  7.079483e-02   1.215873e-20   9.934107e-10   1.437526e-21   24
  7.346727e-02   1.038366e-20   0.000000e+00   9.805243e-22   48
  7.853982e-02   9.280993e-21   0.000000e+00   1.650194e-21   6
  8.095699e-02   7.098637e-21   1.404895e-09   6.622140e-22   48
  8.330406e-02   7.409384e-21   0.000000e+00   8.471984e-22   36
  8.558678e-02   5.486740e-21   9.934107e-10   9.002809e-22   24
  8.781018e-02   5.586701e-21   0.000000e+00   7.909421e-22   24
  8.997866e-02   3.775292e-21   0.000000e+00   4.020326e-22   48
  9.209610e-02   4.496054e-21   1.404895e-09   6.765053e-22   24
  9.619124e-02   3.157461e-21   1.404895e-09   3.823565e-22   24
  9.817477e-02   4.084154e-21   0.000000e+00   5.983341e-22   30
  1.001190e-01   2.294581e-21   0.000000e+00   1.972210e-22   72
  1.020262e-01   2.463192e-21   1.490116e-09   2.570616e-22   32
  1.057375e-01   2.516381e-21   0.000000e+00   2.156657e-22   72
  1.075451e-01   2.060370e-21   0.000000e+00   1.998394e-22   48
  1.110721e-01   1.430715e-21   0.000000e+00   3.093255e-22   12
  1.127942e-01   1.452532e-21   0.000000e+00   1.126255e-22   48
  1.144905e-01   1.590471e-21   0.000000e+00   9.678342e-23   48
  1.161620e-01   1.364136e-21   1.404895e-09   1.151294e-22   48
  1.178097e-01   1.122945e-21   1.589457e-09   1.794537e-22   30
  1.194348e-01   1.271494e-21   1.404895e-09   1.414863e-22   24
  1.210380e-01   1.110126e-21   2.961779e-09   8.361369e-23   72
  1.241824e-01   7.539599e-22   0.000000e+00   7.952577e-23   24
  1.257251e-01   8.322625e-22   0.000000e+00   5.731428e-23   96
  1.272490e-01   9.493235e-22   0.000000e+00   6.906007e-23   48
  1.287550e-01   6.200756e-22   2.433349e-09   6.105816e-23   24
  1.302436e-01   7.630342e-22   2.433349e-09   8.429960e-23   24
  1.317153e-01   7.013082e-22   0.000000e+00   4.548871e-23   72
  1.331707e-01   8.644556e-22   0.000000e+00   5.770990e-23   48
  1.360350e-01   5.366980e-22   1.490116e-09   8.200907e-23   8
  1.374447e-01   5.496276e-22   1.766064e-09   6.325723e-23   54
  1.388401e-01   5.105612e-22   0.000000e+00   3.967305e-23   84
  1.402216e-01   4.676039e-22   0.000000e+00   6.479256e-23   48
  1.415897e-01   5.547495e-22   1.986821e-09   5.073560e-23   24
  1.429446e-01   4.254453e-22   1.873193e-09   4.426116e-23   72
  1.442869e-01   4.043651e-22   0.000000e+00   3.833167e-23   96
  1.469345e-01   3.874407e-22   0.000000e+00   2.665624e-23   48
  1.482407e-01   4.532279e-22   0.000000e+00   3.958775e-23   48
  1.495354e-01   2.787695e-22   1.986821e-09   4.884376e-23   24
  1.508189e-01   3.776005e-22   0.000000e+00   2.578345e-23   72
  1.533539e-01   3.095441e-22   1.873193e-09   3.323578e-23   72
  1.546058e-01   2.659817e-22   0.000000e+00   1.699536e-23   96
  1.570796e-01   2.510085e-22   0.000000e+00   4.566760e-23   6
  1.583021e-01   2.710251e-22   0.000000e+00   2.047319e-23   96
  1.595151e-01   2.909709e-22   1.986821e-09   1.832255e-23   96
  1.607190e-01   3.261711e-22   0.000000e+00   2.591868e-23   24
  1.619140e-01   2.588853e-22   2.809790e-09   2.276435e-23   48
  1.631002e-01   1.969059e-22   0.000000e+00   1.515293e-23   96
  1.642778e-01   2.033156e-22   0.000000e+00   1.651706e-23   48
  1.666081e-01   2.308607e-22   0.000000e+00   2.501437e-23   36
  1.677611e-01   2.105345e-22   3.441276e-09   1.845649e-23   48
  1.689063e-01   1.817317e-22   3.893359e-09   1.156122e-23   120
  1.700437e-01   1.837918e-22   0.000000e+00   2.133874e-23   56
  1.711736e-01   1.913415e-22   1.986821e-09   2.894335e-23   24
  1.722960e-01   1.717412e-22   0.000000e+00   1.621987e-23   96
  1.734112e-01   1.657118e-22   0.000000e+00   1.981285e-23   48
  1.756204e-01   2.044647e-22   0.000000e+00   3.016531e-23   24
  1.767146e-01   1.428343e-22   0.000000e+00   9.755862e-24   102
  1.778021e-01   1.682696e-22   0.000000e+00   1.855878e-23   48
  1.788829e-01   1.529439e-22   0.000000e+00   1.152598e-23   72
  1.799573e-01   1.286909e-22   0.000000e+00   1.572337e-23   48
  1.810253e-01   1.552796e-22   0.000000e+00   1.479688e-23   48
  1.820871e-01   1.503006e-22   4.495664e-09   1.021953e-23   120
  1.841922e-01   1.034961e-22   2.809790e-09   1.530749e-23   24
  1.852358e-01   1.170942e-22   2.649095e-09   7.446144e-24   144
  1.862735e-01   1.143901e-22   3.178914e-09   7.068912e-24   120
  1.873055e-01   1.171336e-22   2.809790e-09   9.470622e-24   48
  1.893526e-01   1.110134e-22   2.809790e-09   9.502778e-24   48
  1.903679e-01   9.325824e-23   2.809790e-09   6.120271e-24   96
  1.930487e-01   8.100578e-23   4.711199e-04   5.865295e-24   72
  1.943761e-01   8.341421e-23   3.532127e-09   4.691966e-24   108
  1.953653e-01   8.353053e-23   0.000000e+00   6.864530e-24   72
  1.963495e-01   7.264050e-23   0.000000e+00   4.251790e-24   30
  1.973288e-01   8.518993e-23   0.000000e+00   3.882653e-24   168
  1.983033e-01   6.437002e-23   0.000000e+00   6.879312e-24   48
  2.002380e-01   7.411768e-23   0.000000e+00   6.095065e-24   72
  2.011984e-01   6.785108e-23   0.000000e+00   4.385348e-24   96
  2.021542e-01   7.806726e-23   5.298191e-09   5.317099e-24   72
  2.031055e-01   6.592723e-23   0.000000e+00   3.136281e-24   72
