# power spectrum of chi
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.047049e-01   2.455382e-22   4.350048e-04   2.735625e-23   104
  2.059331e-01   2.099948e-22   3.746387e-09   1.754163e-23   144
  2.087224e-01   2.125680e-22   6.282881e-09   2.232753e-23   96
  2.096439e-01   2.219615e-22   0.000000e+00   1.793439e-23   96
  2.111095e-01   1.876006e-22   4.475232e-04   1.525755e-23   120
  2.123845e-01   1.731687e-22   0.000000e+00   1.462038e-23   120
  2.132902e-01   1.668770e-22   0.000000e+00   2.098624e-23   72
  2.150901e-01   2.460234e-22   0.000000e+00   3.669634e-23   48
  2.159845e-01   1.771144e-22   4.235416e-09   1.785781e-23   78
  2.171286e-01   1.948223e-22   4.007142e-04   1.275130e-23   168
  2.195255e-01   1.781884e-22   3.746387e-09   1.957320e-23   144
  2.204018e-01   1.546773e-22   3.746387e-09   1.234521e-23   144
  2.229436e-01   1.593845e-22   2.307791e-04   1.219215e-23   156
  2.238729e-01   1.203417e-22   4.866699e-09   1.622839e-23   48
  2.247323e-01   1.255249e-22   3.178914e-09   1.310639e-23   120
  2.255884e-01   1.509215e-22   0.000000e+00   2.012473e-23   48
  2.271022e-01   1.561415e-22   3.532495e-04   1.154527e-23   216
  2.289809e-01   1.864621e-22   0.000000e+00   3.502675e-23   48
  2.298212e-01   1.207248e-22   2.809790e-09   1.138511e-23   96
  2.310160e-01   1.350520e-22   4.128272e-04   1.069686e-23   168
  2.323239e-01   1.440496e-22   2.809790e-09   1.870465e-23   48
  2.331522e-01   1.356299e-22   0.000000e+00   1.029784e-23   96
  2.339775e-01   8.392329e-23   0.000000e+00   1.299171e-23   48
  2.356194e-01   1.102103e-22   3.178914e-09   1.644028e-23   30
  2.364362e-01   1.210120e-22   2.809790e-09   1.241886e-23   96
  2.374123e-01   1.164255e-22   3.244455e-04   6.927388e-24   240
  2.386674e-01   1.081922e-22   3.500299e-04   1.264359e-23   32
  2.396752e-01   9.116271e-23   0.000000e+00   7.411920e-24   168
  2.404781e-01   7.890007e-23   0.000000e+00   6.269975e-24   120
  2.420760e-01   8.799635e-23   5.923557e-09   7.757574e-24   72
  2.428710e-01   7.768531e-23   3.746387e-09   5.914370e-24   144
  2.436634e-01   8.866417e-23   0.000000e+00   1.011719e-23   96
  2.444532e-01   1.098236e-22   0.000000e+00   1.012469e-23   96
  2.460253e-01   1.093268e-22   4.588368e-09   1.296498e-23   72
  2.468075e-01   7.893720e-23   3.973643e-09   8.193312e-24   96
  2.483647e-01   1.366156e-22   0.000000e+00   3.359126e-23   24
  2.491396e-01   8.494346e-23   0.000000e+00   6.370177e-24   192
  2.500522e-01   7.635699e-23   2.970416e-04   7.648989e-24   132
  2.514501e-01   7.309520e-23   0.000000e+00   6.921334e-24   96
  2.522156e-01   6.181547e-23   0.000000e+00   6.823820e-24   96
  2.529787e-01   8.276912e-23   3.178914e-09   6.658662e-24   120
  2.544981e-01   7.922813e-23   0.000000e+00   1.261493e-23   48
  2.557435e-01   7.738669e-23   3.599905e-04   4.277783e-24   222
  2.567603e-01   6.517480e-23   0.000000e+00   5.583821e-24   120
  2.575100e-01   4.022275e-23   4.866699e-09   6.537938e-24   24
  2.586015e-01   7.313707e-23   3.715625e-04   4.998493e-24   312
  2.609797e-01   8.361847e-23   3.483547e-04   1.019545e-23   72
