# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.047049e-01   7.847283e-23   4.350048e-04   5.288459e-24   104
  2.059331e-01   6.959289e-23   3.746387e-09   4.152465e-24   144
  2.087224e-01   6.930497e-23   6.282881e-09   4.774495e-24   96
  2.096439e-01   5.571218e-23   0.000000e+00   4.060720e-24   96
  2.111095e-01   6.992254e-23   4.475232e-04   4.188456e-24   120
  2.123845e-01   6.999101e-23   0.000000e+00   4.312016e-24   120
  2.132902e-01   6.441056e-23   0.000000e+00   5.049164e-24   72
  2.150901e-01   6.399344e-23   0.000000e+00   6.318985e-24   48
  2.159845e-01   4.381276e-23   4.235416e-09   2.310940e-24   78
  2.171286e-01   5.638764e-23   4.007142e-04   3.224055e-24   168
  2.195255e-01   5.676355e-23   3.746387e-09   3.436275e-24   144
  2.204018e-01   5.809488e-23   3.746387e-09   2.923021e-24   144
  2.229436e-01   4.557900e-23   2.307791e-04   2.717191e-24   156
  2.238729e-01   5.633988e-23   4.866699e-09   6.346029e-24   48
  2.247323e-01   5.169433e-23   3.178914e-09   3.162161e-24   120
  2.255884e-01   5.760755e-23   0.000000e+00   5.201417e-24   48
  2.271022e-01   4.765005e-23   3.532495e-04   2.039498e-24   216
  2.289809e-01   3.928837e-23   0.000000e+00   2.947643e-24   48
  2.298212e-01   3.701255e-23   2.809790e-09   2.208106e-24   96
  2.310160e-01   4.592287e-23   4.128272e-04   2.103669e-24   168
  2.323239e-01   3.985761e-23   2.809790e-09   4.165741e-24   48
  2.331522e-01   5.530913e-23   0.000000e+00   3.517087e-24   96
  2.339775e-01   3.769008e-23   0.000000e+00   3.223438e-24   48
  2.356194e-01   2.946181e-23   3.178914e-09   3.193771e-24   30
  2.364362e-01   4.115292e-23   2.809790e-09   2.733843e-24   96
  2.374123e-01   3.835168e-23   3.244455e-04   1.517651e-24   240
  2.386674e-01   3.962198e-23   3.500299e-04   5.162010e-24   32
  2.396752e-01   3.676022e-23   0.000000e+00   1.990022e-24   168
  2.404781e-01   3.735191e-23   0.000000e+00   2.466123e-24   120
  2.420760e-01   4.003362e-23   5.923557e-09   3.277875e-24   72
  2.428710e-01   3.708341e-23   3.746387e-09   2.481653e-24   144
  2.436634e-01   3.388397e-23   0.000000e+00   1.784403e-24   96
  2.444532e-01   3.063884e-23   0.000000e+00   2.444377e-24   96
  2.460253e-01   4.776166e-23   4.588368e-09   3.452157e-24   72
  2.468075e-01   3.890559e-23   3.973643e-09   2.771390e-24   96
  2.483647e-01   3.332004e-23   0.000000e+00   3.691384e-24   24
  2.491396e-01   3.324418e-23   0.000000e+00   1.527988e-24   192
  2.500522e-01   3.754743e-23   2.970416e-04   2.278958e-24   132
  2.514501e-01   3.390638e-23   0.000000e+00   2.726475e-24   96
  2.522156e-01   2.765843e-23   0.000000e+00   1.819862e-24   96
  2.529787e-01   3.006021e-23   3.178914e-09   1.502521e-24   120
  2.544981e-01   3.019535e-23   0.000000e+00   2.376940e-24   48
  2.557435e-01   2.758738e-23   3.599905e-04   1.325515e-24   222
  2.567603e-01   2.756129e-23   0.000000e+00   1.724128e-24   120
  2.575100e-01   2.341270e-23   4.866699e-09   2.903810e-24   24
