# power spectrum of B
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.047049e-01   2.026403e-17   4.350048e-04   1.407694e-18   104
  2.059331e-01   1.889868e-17   3.746387e-09   1.234787e-18   144
  2.087224e-01   1.824459e-17   6.282881e-09   1.300989e-18   96
  2.096439e-01   1.589110e-17   0.000000e+00   1.183071e-18   96
  2.111095e-01   1.668255e-17   4.475232e-04   1.048559e-18   120
  2.123845e-01   1.736577e-17   0.000000e+00   1.113468e-18   120
  2.132902e-01   1.538354e-17   0.000000e+00   1.340430e-18   72
  2.150901e-01   2.028768e-17   0.000000e+00   1.748642e-18   48
  2.159845e-01   1.531551e-17   4.235416e-09   1.286051e-18   78
  2.171286e-01   1.491721e-17   4.007142e-04   9.714274e-19   168
  2.195255e-01   1.330774e-17   3.746387e-09   7.368167e-19   144
  2.204018e-01   1.981155e-17   3.746387e-09   1.231938e-18   144
  2.229436e-01   1.331640e-17   2.307791e-04   8.508425e-19   156
  2.238729e-01   1.500570e-17   4.866699e-09   1.525970e-18   48
  2.247323e-01   1.622188e-17   3.178914e-09   1.087993e-18   120
  2.255884e-01   1.265793e-17   0.000000e+00   1.223428e-18   48
  2.271022e-01   1.332322e-17   3.532495e-04   6.111473e-19   216
  2.289809e-01   1.314293e-17   0.000000e+00   1.025660e-18   48
  2.298212e-01   1.463949e-17   2.809790e-09   1.050775e-18   96
  2.310160e-01   1.130933e-17   4.128272e-04   5.510173e-19   168
  2.323239e-01   1.313347e-17   2.809790e-09   1.485978e-18   48
  2.331522e-01   1.458241e-17   0.000000e+00   1.000713e-18   96
  2.339775e-01   9.091122e-18   0.000000e+00   8.977880e-19   48
  2.356194e-01   9.869257e-18   3.178914e-09   1.030075e-18   30
  2.364362e-01   1.329609e-17   2.809790e-09   1.095258e-18   96
  2.374123e-01   1.102899e-17   3.244455e-04   4.891760e-19   240
  2.386674e-01   1.384881e-17   3.500299e-04   2.098218e-18   32
  2.396752e-01   1.073665e-17   0.000000e+00   6.366312e-19   168
