# power spectrum of B
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.881688e-16   0.000000e+00   1.816220e-17   6
  2.776802e-02   1.737291e-16   0.000000e+00   2.357173e-17   12
  3.400874e-02   1.313331e-16   3.725290e-10   4.303767e-17   8
  3.926991e-02   1.380335e-16   0.000000e+00   3.247853e-17   6
  4.390509e-02   2.240975e-16   0.000000e+00   3.025081e-17   24
  4.809562e-02   1.215191e-16   7.024475e-10   1.048530e-17   24
  5.553604e-02   1.130320e-16   0.000000e+00   1.499214e-17   12
  5.890486e-02   1.437972e-16   7.947286e-10   2.564985e-17   30
  6.209118e-02   1.335570e-16   0.000000e+00   1.358296e-17   24
  6.512178e-02   1.971566e-16   1.216675e-09   2.856421e-17   24
  6.801748e-02   1.367784e-16   7.450581e-10   3.030857e-17   8
  7.079483e-02   8.553559e-17   9.934107e-10   1.086734e-17   24
  7.346727e-02   1.368640e-16   0.000000e+00   1.256113e-17   48
  7.853982e-02   1.077576e-16   0.000000e+00   1.673405e-17   6
  8.095699e-02   1.096405e-16   1.404895e-09   1.090370e-17   48
  8.330406e-02   1.294831e-16   0.000000e+00   9.613802e-18   36
  8.558678e-02   7.006432e-17   9.934107e-10   1.081539e-17   24
  8.781018e-02   1.164265e-16   0.000000e+00   1.764087e-17   24
  8.997866e-02   8.078813e-17   0.000000e+00   6.887276e-18   48
  9.209610e-02   5.601312e-17   1.404895e-09   7.198902e-18   24
  9.619124e-02   6.472337e-17   1.404895e-09   9.453185e-18   24
  9.817477e-02   7.539253e-17   0.000000e+00   1.010113e-17   30
  1.001190e-01   8.348988e-17   0.000000e+00   6.089375e-18   72
  1.020262e-01   1.122249e-16   1.490116e-09   1.128484e-17   32
  1.057375e-01   8.306692e-17   0.000000e+00   5.923939e-18   72
  1.075451e-01   6.668358e-17   0.000000e+00   7.182990e-18   48
  1.110721e-01   3.313811e-17   0.000000e+00   4.645568e-18   12
  1.127942e-01   5.880851e-17   0.000000e+00   4.282578e-18   48
  1.144905e-01   6.057442e-17   0.000000e+00   5.598837e-18   48
  1.161620e-01   5.256618e-17   1.404895e-09   3.922063e-18   48
  1.178097e-01   5.635148e-17   1.589457e-09   3.951544e-18   30
  1.194348e-01   4.476511e-17   1.404895e-09   7.750134e-18   24
  1.210380e-01   5.699040e-17   2.961779e-09   5.869395e-18   72
  1.241824e-01   5.550056e-17   0.000000e+00   6.762508e-18   24
  1.257251e-01   5.117110e-17   0.000000e+00   3.101464e-18   96
  1.272490e-01   5.979830e-17   0.000000e+00   5.431278e-18   48
  1.287550e-01   6.640141e-17   2.433349e-09   6.570140e-18   24
  1.302436e-01   4.905876e-17   2.433349e-09   7.130646e-18   24
  1.317153e-01   5.260477e-17   0.000000e+00   4.461569e-18   72
  1.331707e-01   5.307802e-17   0.000000e+00   4.875901e-18   48
  1.360350e-01   5.318847e-17   1.490116e-09   9.551707e-18   8
  1.374447e-01   4.295959e-17   1.766064e-09   4.558814e-18   54
  1.388401e-01   4.121935e-17   0.000000e+00   2.843579e-18   84
  1.402216e-01   4.981974e-17   0.000000e+00   3.917728e-18   48
  1.415897e-01   5.758644e-17   1.986821e-09   6.001242e-18   24
  1.429446e-01   4.517383e-17   1.873193e-09   3.156140e-18   72
  1.442869e-01   4.307444e-17   0.000000e+00   3.424756e-18   96
  1.469345e-01   2.621582e-17   0.000000e+00   2.684015e-18   48
  1.482407e-01   3.488572e-17   0.000000e+00   2.748544e-18   48
  1.495354e-01   2.437438e-17   1.986821e-09   3.606819e-18   24
  1.508189e-01   3.817619e-17   0.000000e+00   2.692690e-18   72
  1.533539e-01   3.277322e-17   1.873193e-09   2.616459e-18   72
  1.546058e-01   3.007057e-17   0.000000e+00   2.121411e-18   96
  1.570796e-01   3.554813e-17   0.000000e+00   1.235017e-18   6
  1.583021e-01   3.557128e-17   0.000000e+00   3.013582e-18   96
  1.595151e-01   2.988479e-17   1.986821e-09   2.151517e-18   96
  1.607190e-01   2.495322e-17   0.000000e+00   3.910682e-18   24
  1.619140e-01   2.628188e-17   2.809790e-09   2.199383e-18   48
  1.631002e-01   2.478893e-17   0.000000e+00   2.229331e-18   96
  1.642778e-01   2.931951e-17   0.000000e+00   2.826850e-18   48
  1.666081e-01   2.466750e-17   0.000000e+00   4.416510e-18   36
  1.677611e-01   3.420625e-17   3.441276e-09   3.501640e-18   48
  1.689063e-01   2.776225e-17   3.893359e-09   1.681262e-18   120
  1.700437e-01   2.510827e-17   0.000000e+00   2.603355e-18   56
  1.711736e-01   2.910713e-17   1.986821e-09   2.592421e-18   24
  1.722960e-01   2.180417e-17   0.000000e+00   1.862952e-18   96
  1.734112e-01   1.985751e-17   0.000000e+00   2.077202e-18   48
  1.756204e-01   3.883107e-17   0.000000e+00   6.469769e-18   24
  1.767146e-01   2.369231e-17   0.000000e+00   1.673495e-18   102
  1.778021e-01   2.084305e-17   0.000000e+00   2.199430e-18   48
  1.788829e-01   2.123946e-17   0.000000e+00   1.449705e-18   72
  1.799573e-01   2.454588e-17   0.000000e+00   2.833987e-18   48
  1.810253e-01   2.075714e-17   0.000000e+00   2.218394e-18   48
  1.820871e-01   1.885370e-17   4.495664e-09   1.180868e-18   120
  1.841922e-01   1.523299e-17   2.809790e-09   2.274711e-18   24
  1.852358e-01   2.080656e-17   2.649095e-09   1.246087e-18   144
  1.862735e-01   2.102944e-17   3.178914e-09   1.245753e-18   120
  1.873055e-01   2.297889e-17   2.809790e-09   1.997187e-18   48
  1.893526e-01   2.277381e-17   2.809790e-09   1.967169e-18   48
  1.903679e-01   2.033080e-17   2.809790e-09   1.442930e-18   96
  1.930487e-01   1.744591e-17   4.711199e-04   1.504785e-18   72
  1.943761e-01   1.648601e-17   3.532127e-09   1.242847e-18   108
  1.953653e-01   1.882430e-17   0.000000e+00   1.395187e-18   72
  1.963495e-01   1.469386e-17   0.000000e+00   1.964017e-18   30
  1.973288e-01   1.710184e-17   0.000000e+00   8.819693e-19   168
  1.983033e-01   1.585324e-17   0.000000e+00   2.092933e-18   48
  2.002380e-01   1.813777e-17   0.000000e+00   1.248584e-18   72
  2.011984e-01   1.838247e-17   0.000000e+00   1.330604e-18   96
  2.021542e-01   2.061965e-17   5.298191e-09   1.586428e-18   72
  2.031055e-01   1.910996e-17   0.000000e+00   1.736352e-18   72
  2.047049e-01   1.804959e-17   4.350048e-04   1.257471e-18   104
  2.059331e-01   1.891408e-17   3.746387e-09   1.240323e-18   144
  2.087224e-01   1.742325e-17   6.282881e-09   1.136806e-18   96
  2.096439e-01   1.500323e-17   0.000000e+00   9.055663e-19   96
  2.111095e-01   1.746178e-17   4.475232e-04   1.082662e-18   120
  2.123845e-01   1.721050e-17   0.000000e+00   1.057861e-18   120
  2.132902e-01   1.613319e-17   0.000000e+00   1.511513e-18   72
  2.150901e-01   1.893885e-17   0.000000e+00   1.641046e-18   48
  2.159845e-01   1.370117e-17   4.235416e-09   1.156445e-18   78
  2.171286e-01   1.372613e-17   4.007142e-04   8.146143e-19   168
