# power spectrum of hij
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   4.601771e-19   0.000000e+00   1.674949e-19   6
  2.776802e-02   2.993487e-19   0.000000e+00   2.781757e-20   12
  3.400874e-02   1.312985e-19   3.725290e-10   1.503162e-20   8
  3.926991e-02   1.163017e-19   0.000000e+00   1.342084e-20   6
  4.390509e-02   9.436492e-20   0.000000e+00   9.604811e-21   24
  4.809562e-02   4.016624e-20   7.024475e-10   6.693118e-21   24
  5.553604e-02   4.239529e-20   0.000000e+00   5.470168e-21   12
  5.890486e-02   1.857844e-20   7.947286e-10   1.630278e-21   30
  6.209118e-02   1.779890e-20   0.000000e+00   2.463210e-21   24
  6.512178e-02   2.060786e-20   1.216675e-09   3.019377e-21   24
  6.801748e-02   1.152365e-20   7.450581e-10   2.687225e-21   8
  7.079483e-02   1.135527e-20   9.934107e-10   1.413723e-21   24
  7.346727e-02   1.009104e-20   0.000000e+00   9.617376e-22   48
  7.853982e-02   9.250310e-21   0.000000e+00   1.456089e-21   6
  8.095699e-02   6.382093e-21   1.404895e-09   6.284348e-22   48
  8.330406e-02   7.022139e-21   0.000000e+00   7.687598e-22   36
  8.558678e-02   5.380887e-21   9.934107e-10   9.220005e-22   24
  8.781018e-02   5.453712e-21   0.000000e+00   8.184860e-22   24
  8.997866e-02   3.828430e-21   0.000000e+00   4.109968e-22   48
  9.209610e-02   4.460954e-21   1.404895e-09   6.389325e-22   24
  9.619124e-02   2.863704e-21   1.404895e-09   3.756036e-22   24
  9.817477e-02   3.948887e-21   0.000000e+00   6.386216e-22   30
  1.001190e-01   2.251303e-21   0.000000e+00   1.842911e-22   72
  1.020262e-01   2.258020e-21   1.490116e-09   2.145358e-22   32
  1.057375e-01   2.336471e-21   0.000000e+00   2.075644e-22   72
  1.075451e-01   1.877875e-21   0.000000e+00   1.783550e-22   48
  1.110721e-01   1.649193e-21   0.000000e+00   3.412115e-22   12
  1.127942e-01   1.462530e-21   0.000000e+00   1.055895e-22   48
  1.144905e-01   1.549817e-21   0.000000e+00   1.111889e-22   48
  1.161620e-01   1.345460e-21   1.404895e-09   1.154074e-22   48
  1.178097e-01   1.260326e-21   1.589457e-09   1.743017e-22   30
  1.194348e-01   1.188050e-21   1.404895e-09   1.102103e-22   24
  1.210380e-01   1.177410e-21   2.961779e-09   8.501647e-23   72
  1.241824e-01   7.500754e-22   0.000000e+00   9.451406e-23   24
  1.257251e-01   7.958204e-22   0.000000e+00   4.935814e-23   96
  1.272490e-01   9.560643e-22   0.000000e+00   7.087107e-23   48
  1.287550e-01   6.948734e-22   2.433349e-09   6.534320e-23   24
  1.302436e-01   8.252215e-22   2.433349e-09   1.098048e-22   24
  1.317153e-01   6.639777e-22   0.000000e+00   4.092312e-23   72
