# power spectrum of B
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.027785e-17   0.000000e+00   2.878221e-18   6
  2.776802e-02   1.900772e-17   0.000000e+00   2.444366e-18   12
  3.400874e-02   1.238362e-17   3.725290e-10   4.549864e-18   8
  3.926991e-02   1.464684e-17   0.000000e+00   3.159792e-18   6
  4.390509e-02   2.463361e-17   0.000000e+00   3.351612e-18   24
  4.809562e-02   1.231687e-17   7.024475e-10   1.340236e-18   24
  5.553604e-02   1.078222e-17   0.000000e+00   1.442318e-18   12
  5.890486e-02   1.431646e-17   7.947286e-10   2.196285e-18   30
  6.209118e-02   1.459203e-17   0.000000e+00   1.597222e-18   24
  6.512178e-02   2.181567e-17   1.216675e-09   2.943531e-18   24
  6.801748e-02   1.421046e-17   7.450581e-10   3.291365e-18   8
  7.079483e-02   8.740536e-18   9.934107e-10   1.193974e-18   24
  7.346727e-02   1.356027e-17   0.000000e+00   1.263861e-18   48
  7.853982e-02   9.805718e-18   0.000000e+00   6.887095e-19   6
  8.095699e-02   1.072236e-17   1.404895e-09   1.103962e-18   48
  8.330406e-02   1.384702e-17   0.000000e+00   1.188270e-18   36
  8.558678e-02   6.814162e-18   9.934107e-10   1.107904e-18   24
  8.781018e-02   1.037147e-17   0.000000e+00   1.625398e-18   24
  8.997866e-02   8.350738e-18   0.000000e+00   6.627716e-19   48
  9.209610e-02   7.629960e-18   1.404895e-09   7.946734e-19   24
  9.619124e-02   7.370763e-18   1.404895e-09   1.045725e-18   24
  9.817477e-02   8.092271e-18   0.000000e+00   8.682969e-19   30
  1.001190e-01   7.936306e-18   0.000000e+00   6.786692e-19   72
  1.020262e-01   1.124635e-17   1.490116e-09   1.305782e-18   32
  1.057375e-01   8.297975e-18   0.000000e+00   6.047595e-19   72
  1.075451e-01   8.241666e-18   0.000000e+00   7.686069e-19   48
  1.110721e-01   2.567744e-18   0.000000e+00   4.463847e-19   12
  1.127942e-01   6.863860e-18   0.000000e+00   6.546967e-19   48
  1.144905e-01   5.696514e-18   0.000000e+00   5.710475e-19   48
  1.161620e-01   4.646057e-18   1.404895e-09   4.811679e-19   48
  1.178097e-01   5.366764e-18   1.589457e-09   7.336785e-19   30
  1.194348e-01   5.919278e-18   1.404895e-09   1.095239e-18   24
