# power spectrum of phi
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.469180e-10   0.000000e+00   5.357924e-11   6
  2.776802e-02   2.184809e-10   0.000000e+00   4.822121e-11   12
  3.400874e-02   1.125781e-10   3.725290e-10   3.187729e-11   8
  3.926991e-02   9.543864e-11   0.000000e+00   2.746909e-11   6
  4.390509e-02   7.011751e-11   0.000000e+00   9.225377e-12   24
  4.809562e-02   6.324228e-11   7.024475e-10   1.242984e-11   24
  5.553604e-02   1.576668e-11   0.000000e+00   3.931241e-12   12
  5.890486e-02   4.533497e-11   7.947286e-10   5.623301e-12   30
  6.209118e-02   2.764114e-11   0.000000e+00   4.924019e-12   24
  6.512178e-02   3.140680e-11   1.216675e-09   6.579511e-12   24
  6.801748e-02   6.059482e-11   7.450581e-10   2.251609e-11   8
  7.079483e-02   2.161509e-11   9.934107e-10   4.194887e-12   24
  7.346727e-02   2.272979e-11   0.000000e+00   2.683328e-12   48
  7.853982e-02   1.490130e-11   0.000000e+00   1.647567e-12   6
  8.095699e-02   2.497893e-11   1.404895e-09   2.761782e-12   48
  8.330406e-02   2.389319e-11   0.000000e+00   3.521953e-12   36
  8.558678e-02   1.176430e-11   9.934107e-10   2.708297e-12   24
  8.781018e-02   1.584273e-11   0.000000e+00   2.229829e-12   24
  8.997866e-02   1.346198e-11   0.000000e+00   1.675155e-12   48
  9.209610e-02   2.423323e-11   1.404895e-09   4.493306e-12   24
  9.619124e-02   1.344650e-11   1.404895e-09   2.724598e-12   24
  9.817477e-02   1.442849e-11   0.000000e+00   2.281771e-12   30
  1.001190e-01   1.410576e-11   0.000000e+00   1.399408e-12   72
  1.020262e-01   1.452469e-11   1.490116e-09   2.115426e-12   32
  1.057375e-01   9.705817e-12   0.000000e+00   1.644068e-12   72
  1.075451e-01   1.019461e-11   0.000000e+00   1.242934e-12   48
  1.110721e-01   4.384179e-12   0.000000e+00   9.153244e-13   12
  1.127942e-01   1.124023e-11   0.000000e+00   1.479147e-12   48
  1.144905e-01   1.054275e-11   0.000000e+00   1.539555e-12   48
  1.161620e-01   6.786858e-12   1.404895e-09   9.915894e-13   48
  1.178097e-01   7.389001e-12   1.589457e-09   9.801621e-13   30
  1.194348e-01   7.525092e-12   1.404895e-09   1.183542e-12   24
  1.210380e-01   7.682839e-12   2.961779e-09   7.803119e-13   72
  1.241824e-01   6.272330e-12   0.000000e+00   2.246424e-12   24
  1.257251e-01   9.665669e-12   0.000000e+00   9.091301e-13   96
  1.272490e-01   5.011309e-12   0.000000e+00   9.089978e-13   48
  1.287550e-01   6.613508e-12   2.433349e-09   1.127688e-12   24
  1.302436e-01   1.194607e-11   2.433349e-09   2.304249e-12   24
  1.317153e-01   7.398384e-12   0.000000e+00   9.923168e-13   72
  1.331707e-01   7.833289e-12   0.000000e+00   1.109934e-12   48
  1.360350e-01   1.057376e-11   1.490116e-09   2.960945e-12   8
  1.374447e-01   5.982300e-12   1.766064e-09   5.956460e-13   54
  1.388401e-01   5.993445e-12   0.000000e+00   6.953567e-13   84
  1.402216e-01   4.867149e-12   0.000000e+00   6.387997e-13   48
  1.415897e-01   5.275231e-12   1.986821e-09   1.502563e-12   24
  1.429446e-01   5.559090e-12   1.873193e-09   6.058883e-13   72
  1.442869e-01   5.272614e-12   0.000000e+00   4.361940e-13   96
  1.469345e-01   5.858242e-12   0.000000e+00   6.567586e-13   48
  1.482407e-01   5.217291e-12   0.000000e+00   5.588903e-13   48
  1.495354e-01   5.535719e-12   1.986821e-09   1.323497e-12   24
  1.508189e-01   3.960601e-12   0.000000e+00   4.979764e-13   72
  1.533539e-01   4.793752e-12   1.873193e-09   6.330427e-13   72
  1.546058e-01   3.189028e-12   0.000000e+00   2.979615e-13   96
  1.570796e-01   8.187978e-13   0.000000e+00   4.456639e-13   6
  1.583021e-01   3.108123e-12   0.000000e+00   3.529044e-13   96
  1.595151e-01   3.740927e-12   1.986821e-09   2.909588e-13   96
  1.607190e-01   2.764187e-12   0.000000e+00   2.119949e-13   24
  1.619140e-01   3.611074e-12   2.809790e-09   5.525869e-13   48
  1.631002e-01   2.719063e-12   0.000000e+00   2.622599e-13   96
  1.642778e-01   3.119505e-12   0.000000e+00   3.561607e-13   48
  1.666081e-01   2.750726e-12   0.000000e+00   5.268094e-13   36
  1.677611e-01   2.340387e-12   3.441276e-09   3.856885e-13   48
  1.689063e-01   2.962012e-12   3.893359e-09   2.252897e-13   120
  1.700437e-01   2.978966e-12   0.000000e+00   3.715547e-13   56
  1.711736e-01   2.187157e-12   1.986821e-09   4.894329e-13   24
  1.722960e-01   2.793028e-12   0.000000e+00   2.845252e-13   96
  1.734112e-01   3.121969e-12   0.000000e+00   4.319689e-13   48
  1.756204e-01   2.447496e-12   0.000000e+00   4.905509e-13   24
  1.767146e-01   3.354492e-12   0.000000e+00   2.673621e-13   102
  1.778021e-01   3.781688e-12   0.000000e+00   6.759823e-13   48
  1.788829e-01   4.328340e-12   0.000000e+00   3.979198e-13   72
  1.799573e-01   2.792788e-12   0.000000e+00   4.309947e-13   48
  1.810253e-01   3.157454e-12   0.000000e+00   4.687388e-13   48
  1.820871e-01   2.787481e-12   4.495664e-09   2.685471e-13   120
  1.841922e-01   1.943610e-12   2.809790e-09   3.742170e-13   24
  1.852358e-01   2.801180e-12   2.649095e-09   2.108370e-13   144
  1.862735e-01   3.111658e-12   3.178914e-09   2.960812e-13   120
  1.873055e-01   2.521978e-12   2.809790e-09   3.036441e-13   48
  1.893526e-01   2.656558e-12   2.809790e-09   3.967727e-13   48
  1.903679e-01   2.518342e-12   2.809790e-09   2.343779e-13   96
  1.930487e-01   2.210144e-12   4.711199e-04   2.514431e-13   72
  1.943761e-01   2.479936e-12   3.532127e-09   2.550078e-13   108
