# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.786441e-11   0.000000e+00   3.184721e-11   6
  2.776802e-02   1.309124e-10   0.000000e+00   2.779620e-11   12
  3.400874e-02   6.443969e-11   3.725290e-10   1.763254e-11   8
  3.926991e-02   5.389400e-11   0.000000e+00   1.257795e-11   6
  4.390509e-02   4.565132e-11   0.000000e+00   5.532844e-12   24
  4.809562e-02   3.539557e-11   7.024475e-10   6.660821e-12   24
  5.553604e-02   1.054303e-11   0.000000e+00   2.301818e-12   12
  5.890486e-02   2.631258e-11   7.947286e-10   2.669590e-12   30
  6.209118e-02   1.510540e-11   0.000000e+00   2.774727e-12   24
  6.512178e-02   1.923707e-11   1.216675e-09   3.512887e-12   24
  6.801748e-02   3.696107e-11   7.450581e-10   1.189533e-11   8
  7.079483e-02   1.578121e-11   9.934107e-10   2.803328e-12   24
  7.346727e-02   1.166659e-11   0.000000e+00   1.225252e-12   48
  7.853982e-02   9.720386e-12   0.000000e+00   6.981542e-13   6
  8.095699e-02   1.473257e-11   1.404895e-09   1.557664e-12   48
  8.330406e-02   1.196784e-11   0.000000e+00   1.621017e-12   36
  8.558678e-02   6.093345e-12   9.934107e-10   1.588208e-12   24
  8.781018e-02   6.418754e-12   0.000000e+00   1.221385e-12   24
  8.997866e-02   8.276492e-12   0.000000e+00   1.211157e-12   48
  9.209610e-02   1.158469e-11   1.404895e-09   2.015730e-12   24
  9.619124e-02   6.417334e-12   1.404895e-09   1.230320e-12   24
  9.817477e-02   7.419616e-12   0.000000e+00   1.260905e-12   30
  1.001190e-01   7.519034e-12   0.000000e+00   7.484768e-13   72
  1.020262e-01   8.186257e-12   1.490116e-09   1.346495e-12   32
  1.057375e-01   6.359179e-12   0.000000e+00   8.576366e-13   72
  1.075451e-01   5.250496e-12   0.000000e+00   6.640097e-13   48
  1.110721e-01   3.727904e-12   0.000000e+00   6.096542e-13   12
  1.127942e-01   6.220621e-12   0.000000e+00   7.617301e-13   48
  1.144905e-01   5.761603e-12   0.000000e+00   7.454599e-13   48
  1.161620e-01   3.851526e-12   1.404895e-09   5.261003e-13   48
  1.178097e-01   3.867536e-12   1.589457e-09   7.332495e-13   30
  1.194348e-01   3.827531e-12   1.404895e-09   5.934117e-13   24
  1.210380e-01   4.849415e-12   2.961779e-09   4.053836e-13   72
  1.241824e-01   4.243264e-12   0.000000e+00   1.566729e-12   24
  1.257251e-01   4.901184e-12   0.000000e+00   4.369278e-13   96
  1.272490e-01   3.204773e-12   0.000000e+00   4.105625e-13   48
  1.287550e-01   3.468082e-12   2.433349e-09   5.642165e-13   24
  1.302436e-01   6.352774e-12   2.433349e-09   9.783178e-13   24
  1.317153e-01   3.771398e-12   0.000000e+00   4.366647e-13   72
  1.331707e-01   3.903782e-12   0.000000e+00   4.747659e-13   48
  1.360350e-01   4.204089e-12   1.490116e-09   1.799754e-12   8
  1.374447e-01   3.819047e-12   1.766064e-09   3.797798e-13   54
  1.388401e-01   4.634375e-12   0.000000e+00   5.554323e-13   84
  1.402216e-01   2.900482e-12   0.000000e+00   4.006956e-13   48
  1.415897e-01   2.867775e-12   1.986821e-09   7.478791e-13   24
  1.429446e-01   2.750272e-12   1.873193e-09   3.342386e-13   72
  1.442869e-01   2.687004e-12   0.000000e+00   2.449884e-13   96
  1.469345e-01   2.230711e-12   0.000000e+00   2.575287e-13   48
  1.482407e-01   2.094219e-12   0.000000e+00   2.806450e-13   48
  1.495354e-01   1.716293e-12   1.986821e-09   3.382813e-13   24
  1.508189e-01   2.030946e-12   0.000000e+00   2.179158e-13   72
  1.533539e-01   2.413776e-12   1.873193e-09   2.614513e-13   72
  1.546058e-01   2.310012e-12   0.000000e+00   2.027599e-13   96
  1.570796e-01   1.012580e-12   0.000000e+00   3.550939e-13   6
  1.583021e-01   2.354663e-12   0.000000e+00   2.399765e-13   96
  1.595151e-01   2.134166e-12   1.986821e-09   2.043529e-13   96
  1.607190e-01   3.102949e-12   0.000000e+00   5.638169e-13   24
  1.619140e-01   1.952824e-12   2.809790e-09   2.561756e-13   48
  1.631002e-01   1.672357e-12   0.000000e+00   1.770562e-13   96
  1.642778e-01   1.345610e-12   0.000000e+00   1.947534e-13   48
  1.666081e-01   2.402869e-12   0.000000e+00   3.846293e-13   36
  1.677611e-01   1.475805e-12   3.441276e-09   2.877570e-13   48
  1.689063e-01   1.664067e-12   3.893359e-09   1.582325e-13   120
  1.700437e-01   2.235305e-12   0.000000e+00   3.115495e-13   56
  1.711736e-01   1.101371e-12   1.986821e-09   2.694813e-13   24
  1.722960e-01   1.299506e-12   0.000000e+00   1.181527e-13   96
  1.734112e-01   1.987266e-12   0.000000e+00   2.550994e-13   48
  1.756204e-01   1.394994e-12   0.000000e+00   2.698132e-13   24
  1.767146e-01   1.765766e-12   0.000000e+00   1.658258e-13   102
  1.778021e-01   1.903416e-12   0.000000e+00   3.429720e-13   48
  1.788829e-01   1.696777e-12   0.000000e+00   1.667883e-13   72
