# power spectrum of B
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.565472e-17   0.000000e+00   7.647952e-18   6
  2.776802e-02   5.237568e-17   0.000000e+00   6.656610e-18   12
  3.400874e-02   3.538379e-17   3.725290e-10   1.289627e-17   8
  3.926991e-02   4.063680e-17   0.000000e+00   8.658887e-18   6
  4.390509e-02   6.582816e-17   0.000000e+00   9.280432e-18   24
  4.809562e-02   3.368903e-17   7.024475e-10   3.707945e-18   24
  5.553604e-02   3.010723e-17   0.000000e+00   3.967161e-18   12
  5.890486e-02   4.007751e-17   7.947286e-10   6.092603e-18   30
  6.209118e-02   3.896939e-17   0.000000e+00   4.268862e-18   24
  6.512178e-02   6.285964e-17   1.216675e-09   9.423040e-18   24
  6.801748e-02   3.952337e-17   7.450581e-10   9.251573e-18   8
  7.079483e-02   2.488712e-17   9.934107e-10   3.466309e-18   24
  7.346727e-02   3.736319e-17   0.000000e+00   3.510507e-18   48
  7.853982e-02   2.695852e-17   0.000000e+00   1.935763e-18   6
  8.095699e-02   3.073074e-17   1.404895e-09   3.155425e-18   48
  8.330406e-02   3.675863e-17   0.000000e+00   2.950758e-18   36
  8.558678e-02   1.841942e-17   9.934107e-10   2.944070e-18   24
  8.781018e-02   2.738475e-17   0.000000e+00   4.064453e-18   24
  8.997866e-02   2.323476e-17   0.000000e+00   1.890512e-18   48
  9.209610e-02   2.136073e-17   1.404895e-09   2.353206e-18   24
  9.619124e-02   1.953290e-17   1.404895e-09   2.807120e-18   24
  9.817477e-02   2.202473e-17   0.000000e+00   2.320484e-18   30
  1.001190e-01   2.189707e-17   0.000000e+00   1.766726e-18   72
  1.020262e-01   3.107404e-17   1.490116e-09   3.727156e-18   32
  1.057375e-01   2.266760e-17   0.000000e+00   1.615961e-18   72
  1.075451e-01   2.035114e-17   0.000000e+00   1.986134e-18   48
  1.110721e-01   6.787663e-18   0.000000e+00   1.128529e-18   12
  1.127942e-01   1.808886e-17   0.000000e+00   1.699549e-18   48
  1.144905e-01   1.491666e-17   0.000000e+00   1.485343e-18   48
  1.161620e-01   1.260930e-17   1.404895e-09   1.292563e-18   48
  1.178097e-01   1.449194e-17   1.589457e-09   1.922669e-18   30
  1.194348e-01   1.572493e-17   1.404895e-09   3.060875e-18   24
  1.210380e-01   1.560953e-17   2.961779e-09   1.293890e-18   72
  1.241824e-01   2.106236e-17   0.000000e+00   3.395136e-18   24
  1.257251e-01   1.596035e-17   0.000000e+00   1.029260e-18   96
  1.272490e-01   1.364082e-17   0.000000e+00   1.210699e-18   48
  1.287550e-01   1.415150e-17   2.433349e-09   1.130558e-18   24
  1.302436e-01   1.534994e-17   2.433349e-09   2.161222e-18   24
  1.317153e-01   1.584806e-17   0.000000e+00   1.503034e-18   72
  1.331707e-01   1.294304e-17   0.000000e+00   1.245548e-18   48
  1.360350e-01   1.097385e-17   1.490116e-09   1.019413e-18   8
  1.374447e-01   1.003219e-17   1.766064e-09   1.220686e-18   54
  1.388401e-01   1.056497e-17   0.000000e+00   7.800152e-19   84
  1.402216e-01   9.723759e-18   0.000000e+00   6.921530e-19   48
  1.415897e-01   1.742864e-17   1.986821e-09   1.925437e-18   24
  1.429446e-01   1.303327e-17   1.873193e-09   9.593430e-19   72
  1.442869e-01   1.015418e-17   0.000000e+00   6.916477e-19   96
  1.469345e-01   7.202406e-18   0.000000e+00   5.987791e-19   48
  1.482407e-01   1.072974e-17   0.000000e+00   9.670518e-19   48
  1.495354e-01   1.069137e-17   1.986821e-09   1.276259e-18   24
  1.508189e-01   1.009961e-17   0.000000e+00   7.032642e-19   72
  1.533539e-01   9.176958e-18   1.873193e-09   8.352223e-19   72
  1.546058e-01   8.386358e-18   0.000000e+00   5.767670e-19   96
  1.570796e-01   7.902198e-18   0.000000e+00   1.322426e-18   6
  1.583021e-01   8.973753e-18   0.000000e+00   7.168946e-19   96
  1.595151e-01   7.277842e-18   1.986821e-09   4.562333e-19   96
  1.607190e-01   8.556272e-18   0.000000e+00   1.189626e-18   24
  1.619140e-01   8.188587e-18   2.809790e-09   8.714513e-19   48
  1.631002e-01   6.817422e-18   0.000000e+00   4.651513e-19   96
  1.642778e-01   7.428907e-18   0.000000e+00   6.149599e-19   48
  1.666081e-01   6.894691e-18   0.000000e+00   7.651691e-19   36
  1.677611e-01   7.241394e-18   3.441276e-09   7.449851e-19   48
  1.689063e-01   8.000253e-18   3.893359e-09   5.543056e-19   120
  1.700437e-01   5.513532e-18   0.000000e+00   5.318351e-19   56
  1.711736e-01   6.814822e-18   1.986821e-09   6.644125e-19   24
  1.722960e-01   7.190226e-18   0.000000e+00   6.140526e-19   96
  1.734112e-01   7.315231e-18   0.000000e+00   8.044871e-19   48
