# power spectrum of chi
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.608086e-20   0.000000e+00   2.944160e-20   6
  2.776802e-02   1.368844e-19   0.000000e+00   3.723264e-20   12
  3.400874e-02   8.132321e-20   3.725290e-10   1.609025e-20   8
  3.926991e-02   6.358578e-20   0.000000e+00   2.095982e-20   6
  4.390509e-02   8.063084e-20   0.000000e+00   2.009448e-20   24
  4.809562e-02   6.849813e-20   7.024475e-10   1.125249e-20   24
  5.553604e-02   3.386069e-20   0.000000e+00   1.256169e-20   12
  5.890486e-02   3.907111e-20   7.947286e-10   6.029632e-21   30
  6.209118e-02   2.374092e-20   0.000000e+00   3.632726e-21   24
  6.512178e-02   1.627417e-20   1.216675e-09   4.366621e-21   24
  6.801748e-02   3.838205e-20   7.450581e-10   9.178471e-21   8
  7.079483e-02   1.761284e-20   9.934107e-10   3.785311e-21   24
  7.346727e-02   1.367127e-20   0.000000e+00   2.082775e-21   48
  7.853982e-02   1.246426e-20   0.000000e+00   1.093070e-21   6
  8.095699e-02   1.258315e-20   1.404895e-09   1.409159e-21   48
  8.330406e-02   8.641525e-21   0.000000e+00   1.733894e-21   36
  8.558678e-02   7.348319e-21   9.934107e-10   1.467099e-21   24
  8.781018e-02   7.697991e-21   0.000000e+00   1.352174e-21   24
  8.997866e-02   6.832260e-21   0.000000e+00   1.230401e-21   48
  9.209610e-02   1.537695e-20   1.404895e-09   3.100927e-21   24
  9.619124e-02   9.947995e-21   1.404895e-09   1.770117e-21   24
  9.817477e-02   4.644875e-21   0.000000e+00   1.271000e-21   30
  1.001190e-01   5.053405e-21   0.000000e+00   4.260929e-22   72
  1.020262e-01   3.903994e-21   1.490116e-09   7.048388e-22   32
  1.057375e-01   6.018457e-21   0.000000e+00   6.182623e-22   72
  1.075451e-01   3.614018e-21   0.000000e+00   4.794470e-22   48
  1.110721e-01   4.707377e-21   0.000000e+00   4.721255e-22   12
  1.127942e-01   3.862244e-21   0.000000e+00   4.164243e-22   48
  1.144905e-01   3.570579e-21   0.000000e+00   4.950900e-22   48
  1.161620e-01   2.055621e-21   1.404895e-09   2.690562e-22   48
  1.178097e-01   2.311582e-21   1.589457e-09   4.034104e-22   30
  1.194348e-01   1.105992e-21   1.404895e-09   1.643740e-22   24
  1.210380e-01   3.224224e-21   2.961779e-09   4.657778e-22   72
  1.241824e-01   2.012144e-21   0.000000e+00   2.834947e-22   24
  1.257251e-01   1.705053e-21   0.000000e+00   1.748156e-22   96
  1.272490e-01   2.709961e-21   0.000000e+00   3.046968e-22   48
  1.287550e-01   2.410727e-21   2.433349e-09   4.458292e-22   24
  1.302436e-01   1.984250e-21   2.433349e-09   2.695133e-22   24
  1.317153e-01   1.626762e-21   0.000000e+00   1.974000e-22   72
  1.331707e-01   1.378448e-21   0.000000e+00   1.702276e-22   48
  1.360350e-01   1.623667e-21   1.490116e-09   7.273735e-22   8
  1.374447e-01   1.427443e-21   1.766064e-09   2.084872e-22   54
  1.388401e-01   2.062408e-21   0.000000e+00   2.573136e-22   84
  1.402216e-01   1.082481e-21   0.000000e+00   1.800744e-22   48
  1.415897e-01   1.091510e-21   1.986821e-09   1.629308e-22   24
  1.429446e-01   1.066543e-21   1.873193e-09   1.251986e-22   72
  1.442869e-01   1.386148e-21   0.000000e+00   1.221642e-22   96
  1.469345e-01   9.789782e-22   0.000000e+00   1.306061e-22   48
  1.482407e-01   9.675442e-22   0.000000e+00   1.208286e-22   48
  1.495354e-01   1.308785e-21   1.986821e-09   3.436760e-22   24
  1.508189e-01   1.323160e-21   0.000000e+00   1.524182e-22   72
  1.533539e-01   9.690143e-22   1.873193e-09   1.052081e-22   72
  1.546058e-01   9.863333e-22   0.000000e+00   9.899842e-23   96
  1.570796e-01   2.075513e-22   0.000000e+00   5.821092e-23   6
  1.583021e-01   8.185238e-22   0.000000e+00   8.874841e-23   96
  1.595151e-01   8.686760e-22   1.986821e-09   9.038326e-23   96
  1.607190e-01   1.481691e-21   0.000000e+00   2.243745e-22   24
  1.619140e-01   8.715665e-22   2.809790e-09   1.295038e-22   48
  1.631002e-01   7.411422e-22   0.000000e+00   8.367400e-23   96
  1.642778e-01   8.871414e-22   0.000000e+00   1.302371e-22   48
  1.666081e-01   7.449118e-22   0.000000e+00   1.315597e-22   36
  1.677611e-01   7.545389e-22   3.441276e-09   1.269359e-22   48
  1.689063e-01   5.402821e-22   3.893359e-09   4.608623e-23   120
  1.700437e-01   8.743494e-22   0.000000e+00   1.600294e-22   56
  1.711736e-01   6.347448e-22   1.986821e-09   7.963201e-23   24
  1.722960e-01   5.813059e-22   0.000000e+00   6.337240e-23   96
  1.734112e-01   6.318657e-22   0.000000e+00   8.090469e-23   48
  1.756204e-01   3.319410e-22   0.000000e+00   4.993088e-23   24
  1.767146e-01   5.054611e-22   0.000000e+00   5.008264e-23   102
  1.778021e-01   3.750193e-22   0.000000e+00   4.233857e-23   48
  1.788829e-01   4.936739e-22   0.000000e+00   6.102995e-23   72
  1.799573e-01   6.276401e-22   0.000000e+00   1.013316e-22   48
  1.810253e-01   3.760053e-22   0.000000e+00   3.237117e-23   48
  1.820871e-01   3.627897e-22   4.495664e-09   3.011188e-23   120
  1.841922e-01   3.041032e-22   2.809790e-09   5.564241e-23   24
  1.852358e-01   4.496652e-22   2.649095e-09   3.199413e-23   144
  1.862735e-01   3.916108e-22   3.178914e-09   3.550187e-23   120
  1.873055e-01   3.835219e-22   2.809790e-09   4.569793e-23   48
  1.893526e-01   4.257199e-22   2.809790e-09   7.326029e-23   48
  1.903679e-01   3.305407e-22   2.809790e-09   3.463286e-23   96
  1.930487e-01   3.126042e-22   4.711199e-04   3.301617e-23   72
  1.943761e-01   2.696459e-22   3.532127e-09   2.758220e-23   108
  1.953653e-01   3.358640e-22   0.000000e+00   3.744897e-23   72
  1.963495e-01   3.312843e-22   0.000000e+00   7.969813e-23   30
  1.973288e-01   3.471949e-22   0.000000e+00   2.501160e-23   168
  1.983033e-01   3.266240e-22   0.000000e+00   4.966701e-23   48
  2.002380e-01   2.643139e-22   0.000000e+00   2.872110e-23   72
  2.011984e-01   2.670774e-22   0.000000e+00   2.546180e-23   96
  2.021542e-01   2.694605e-22   5.298191e-09   3.053613e-23   72
  2.031055e-01   2.611636e-22   0.000000e+00   2.797204e-23   72
  2.047049e-01   2.709123e-22   4.350048e-04   2.996504e-23   104
  2.059331e-01   2.367477e-22   3.746387e-09   1.979524e-23   144
  2.087224e-01   2.359890e-22   6.282881e-09   2.440866e-23   96
  2.096439e-01   2.540962e-22   0.000000e+00   2.059281e-23   96
  2.111095e-01   2.113775e-22   4.475232e-04   1.752143e-23   120
  2.123845e-01   1.907774e-22   0.000000e+00   1.561162e-23   120
  2.132902e-01   1.869394e-22   0.000000e+00   2.435345e-23   72
  2.150901e-01   2.557925e-22   0.000000e+00   3.722834e-23   48
  2.159845e-01   1.996426e-22   4.235416e-09   2.085372e-23   78
  2.171286e-01   2.240066e-22   4.007142e-04   1.478653e-23   168
  2.195255e-01   2.028850e-22   3.746387e-09   2.142053e-23   144
  2.204018e-01   1.745933e-22   3.746387e-09   1.417983e-23   144
  2.229436e-01   1.780276e-22   2.307791e-04   1.373609e-23   156
  2.238729e-01   1.333565e-22   4.866699e-09   1.726279e-23   48
  2.247323e-01   1.390811e-22   3.178914e-09   1.403118e-23   120
  2.255884e-01   1.730828e-22   0.000000e+00   2.299223e-23   48
  2.271022e-01   1.751123e-22   3.532495e-04   1.289805e-23   216
  2.289809e-01   2.172497e-22   0.000000e+00   3.809708e-23   48
  2.298212e-01   1.367877e-22   2.809790e-09   1.301815e-23   96
  2.310160e-01   1.528099e-22   4.128272e-04   1.214469e-23   168
  2.323239e-01   1.656397e-22   2.809790e-09   2.087788e-23   48
  2.331522e-01   1.566447e-22   0.000000e+00   1.177251e-23   96
  2.339775e-01   1.042153e-22   0.000000e+00   1.583206e-23   48
  2.356194e-01   1.290929e-22   3.178914e-09   2.072213e-23   30
  2.364362e-01   1.397179e-22   2.809790e-09   1.465273e-23   96
  2.374123e-01   1.309751e-22   3.244455e-04   8.014449e-24   240
  2.386674e-01   1.196384e-22   3.500299e-04   1.383381e-23   32
  2.396752e-01   9.911597e-23   0.000000e+00   7.981098e-24   168
  2.404781e-01   9.337776e-23   0.000000e+00   7.405539e-24   120
  2.420760e-01   1.038169e-22   5.923557e-09   9.244899e-24   72
  2.428710e-01   8.800518e-23   3.746387e-09   6.496300e-24   144
  2.436634e-01   9.721044e-23   0.000000e+00   1.131009e-23   96
  2.444532e-01   1.256240e-22   0.000000e+00   1.125327e-23   96
  2.460253e-01   1.186579e-22   4.588368e-09   1.410274e-23   72
  2.468075e-01   9.061605e-23   3.973643e-09   9.753338e-24   96
  2.483647e-01   1.533035e-22   0.000000e+00   3.790534e-23   24
  2.491396e-01   1.009922e-22   0.000000e+00   7.632434e-24   192
  2.500522e-01   8.558270e-23   2.970416e-04   8.839950e-24   132
  2.514501e-01   7.718465e-23   0.000000e+00   6.980747e-24   96
  2.522156e-01   7.275904e-23   0.000000e+00   7.939103e-24   96
  2.529787e-01   9.920487e-23   3.178914e-09   8.169762e-24   120
  2.544981e-01   9.641673e-23   0.000000e+00   1.566097e-23   48
  2.557435e-01   8.677783e-23   3.599905e-04   4.758701e-24   222
  2.567603e-01   7.445687e-23   0.000000e+00   6.314943e-24   120
  2.575100e-01   4.916770e-23   4.866699e-09   6.542227e-24   24
  2.586015e-01   8.357188e-23   3.715625e-04   5.626444e-24   312
  2.609797e-01   9.460982e-23   3.483547e-04   1.172989e-23   72
  2.619630e-01   7.604912e-23   2.809790e-09   9.979252e-24   96
  2.629726e-01   6.769947e-23   3.547511e-04   4.507512e-24   192
  2.641613e-01   6.590280e-23   4.495664e-09   6.207932e-24   120
  2.648900e-01   1.012452e-22   0.000000e+00   8.241863e-24   144
  2.663415e-01   6.288492e-23   0.000000e+00   6.548393e-24   48
  2.673732e-01   6.764055e-23   3.567146e-04   3.687423e-24   336
  2.685040e-01   5.426092e-23   0.000000e+00   8.178234e-24   48
  2.699360e-01   5.628288e-23   0.000000e+00   4.288551e-24   192
  2.706492e-01   5.751857e-23   0.000000e+00   9.809199e-24   48
  2.726764e-01   5.108270e-23   2.476067e-04   6.982345e-24   56
  2.736844e-01   5.766118e-23   3.180112e-04   3.339479e-24   336
  2.748894e-01   5.943663e-23   3.532127e-09   6.169910e-24   54
  2.759390e-01   6.300483e-23   3.492904e-04   3.632949e-24   240
  2.781181e-01   6.041243e-23   3.344484e-04   3.556557e-24   228
  2.790651e-01   5.143846e-23   3.746387e-09   5.566747e-24   72
  2.799844e-01   5.418134e-23   3.244231e-04   5.181180e-24   144
  2.811298e-01   5.816109e-23   0.000000e+00   5.565460e-24   96
  2.818146e-01   5.315012e-23   4.495664e-09   3.110532e-24   240
  2.831793e-01   5.251982e-23   3.973643e-09   8.349729e-24   24
  2.840530e-01   5.537280e-23   3.064151e-04   3.091595e-24   336
  2.852142e-01   5.157219e-23   0.000000e+00   5.459846e-24   72
  2.862741e-01   4.217576e-23   3.332831e-04   3.270469e-24   168
  2.872346e-01   5.435535e-23   0.000000e+00   5.315841e-24   72
  2.885737e-01   4.383185e-23   0.000000e+00   4.450386e-24   96
  2.896108e-01   4.159953e-23   3.307829e-04   2.790364e-24   216
  2.905708e-01   6.133613e-23   3.973643e-09   6.747468e-24   96
  2.918946e-01   4.232255e-23   0.000000e+00   3.711360e-24   192
  2.925542e-01   4.121392e-23   3.746387e-09   3.437760e-24   144
  2.938691e-01   3.242348e-23   0.000000e+00   3.462557e-24   48
  2.947794e-01   4.534343e-23   3.189136e-04   2.828766e-24   246
  2.960164e-01   3.310652e-23   2.940434e-04   2.296496e-24   168
