# power spectrum of chi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   3.441904e-20   0.000000e+00   1.115120e-20   6
  2.776802e-02   4.872899e-20   0.000000e+00   1.374471e-20   12
  3.400874e-02   3.317922e-20   3.725290e-10   6.414671e-21   8
  3.926991e-02   1.921809e-20   0.000000e+00   6.900077e-21   6
  4.390509e-02   2.655004e-20   0.000000e+00   6.153156e-21   24
  4.809562e-02   2.296121e-20   7.024475e-10   3.148154e-21   24
  5.553604e-02   1.006585e-20   0.000000e+00   3.704656e-21   12
  5.890486e-02   1.218904e-20   7.947286e-10   1.556755e-21   30
  6.209118e-02   8.813246e-21   0.000000e+00   1.223299e-21   24
  6.512178e-02   5.554946e-21   1.216675e-09   1.444364e-21   24
  6.801748e-02   9.591338e-21   7.450581e-10   8.523378e-22   8
  7.079483e-02   4.849806e-21   9.934107e-10   7.206983e-22   24
  7.346727e-02   4.782933e-21   0.000000e+00   4.092783e-22   48
  7.853982e-02   4.271484e-21   0.000000e+00   2.080664e-22   6
  8.095699e-02   3.935293e-21   1.404895e-09   3.294921e-22   48
  8.330406e-02   2.370203e-21   0.000000e+00   3.681986e-22   36
  8.558678e-02   2.958970e-21   9.934107e-10   6.843064e-22   24
  8.781018e-02   2.953944e-21   0.000000e+00   3.793862e-22   24
  8.997866e-02   2.367506e-21   0.000000e+00   2.782047e-22   48
  9.209610e-02   3.693351e-21   1.404895e-09   5.568450e-22   24
  9.619124e-02   1.822871e-21   1.404895e-09   3.695272e-22   24
  9.817477e-02   1.441026e-21   0.000000e+00   2.949710e-22   30
  1.001190e-01   2.051403e-21   0.000000e+00   1.424332e-22   72
  1.020262e-01   1.051856e-21   1.490116e-09   1.612877e-22   32
  1.057375e-01   1.760565e-21   0.000000e+00   1.917921e-22   72
  1.075451e-01   1.093828e-21   0.000000e+00   1.299888e-22   48
  1.110721e-01   7.190726e-22   0.000000e+00   1.920755e-22   12
  1.127942e-01   9.984794e-22   0.000000e+00   1.630949e-22   48
  1.144905e-01   1.221055e-21   0.000000e+00   1.705119e-22   48
  1.161620e-01   4.818922e-22   1.404895e-09   5.784527e-23   48
